"","values"
"156",0.615205155446661
"157",0.570169520498081
"158",0.74110175211688
"159",0.935512568143766
"160",0.41568150864803
"161",0.881983195810073
"162",1.09580535293722
"163",0.65461971880347
"164",0.415911554311381
"165",0.663516172755511
"166",0.954658255708125
"167",1.18277577076305
"168",1.16525105317188
"169",0.110714056681688
"170",0.590678547486681
"171",0.805976377097538
"172",0.437367787818683
"173",1.21799730951694
"174",1.12590028215798
"175",0.526172922508591
"176",1.21804431131616
"177",0.833728873143967
"178",0.187978356732085
"179",1.06721350954238
"180",0.931707680401516
"181",0.928897348098123
"182",0.381863265429924
"183",0.593922863702295
"184",0.961988476017975
"185",0.865552960567556
"186",0.871140748382083
"187",0.979097081733129
"188",1.19753489799871
"189",1.06579578317602
"190",0.938953605792323
"191",0.443125317569858
"192",0.196183286455591
"193",0.918847839279678
"194",1.11268750492408
"195",0.247419016775375
"196",0.904898449352315
"197",1.16502625309469
"198",0.54015458149337
"199",0.434515570687975
"200",0.257331505859727
"201",0.526065571982608
"202",0.993764888808628
"203",0.617491532123346
"204",1.21741326918322
"205",1.22318968863713
"206",1.19039897613629
"207",1.1769482072094
"208",1.09989768190947
"209",0.315108787971084
"210",0.399513588320705
"211",0.80552087502838
"212",0.7361591921109
"213",1.22450122035526
"214",0.828252756566831
"215",0.724191484972976
"216",0.663691901695158
"217",1.10066096358263
"218",0.173048189844981
"219",1.05377441463345
"220",0.83462832758005
"221",1.08158034840584
"222",0.896283653777486
"223",0.759540759252053
"224",1.02865911766937
"225",1.03631457979978
"226",1.28424458316657
"227",1.16826170389925
"228",1.23665494221991
"229",1.10134076961686
"230",1.20687506142385
"231",0.877748464608484
"232",0.856988007592219
"233",0.691601595010782
"234",0.956184212490519
"235",0.671421287222824
"236",1.08491289360604
"237",0.840633926035629
"238",1.12604148581704
"239",0.866720719514914
"240",0.779117815558494
"241",0.605473340566467
"242",0.333144931208513
"243",0.920561330747537
"244",1.22165951674651
"245",1.0803962270073
"246",0.825880464646431
"247",1.14146116774063
"248",0.821508646363403
"249",0.885801891376768
"250",0.461737042083576
"251",1.13780063197587
"252",0.656586616229638
"253",1.11928472941873
"254",0.241118759087345
"255",0.916392489384417
"256",1.26441360981645
"257",0.827087560045281
"258",0.947166472989538
"259",0.553557308597539
"260",1.09967736241653
"261",0.649584096528361
"262",0.7657121960357
"263",1.02234831150905
"264",0.423064256719556
"265",0.382677259752853
"266",0.924309739538312
