"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","sunflower_HgHa","AET_mean","sunflower_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"6157","Lesotho",45621,-29.733,27.0617,0.188598688301365,2.69963902606151,1.66985557190892,0,2.66393928763576,45621
"6162","China",45627,28.1817,108.808,0.236796674949575,2.84280790410753,2.05875539996197,6.95136909386879,2.99627669770714,45627
"6166","China",45631,37.9899,113.3,0.40148749954509,2.63829904803728,2.18876924952422,6.95136909386879,2.99627669770714,45631
"6172","France",45637,47.2505,0.112226,0.512482045083771,2.79881911598567,2.47795594275281,5.83682522770016,4.39150652613484,45637
"6174","China",45639,42.1292,124.08,0.446316885083498,2.70876476760362,2.16889292331836,6.95136909386879,2.99627669770714,45639
"6175","Russian Federation",45642,59.0367,90.8421,0.0514763915170625,2.28998158076869,0.957277585532647,5.32502074550366,3.33487843404016,45642
"6185","Brazil",45654,-29.6894,-50.2986,0.348020296241899,2.89887529952418,1.39667999431507,5.98977763964001,3.58078294659351,45654
"6186","Australia",45655,-37.2494,142.046,0.254768612009406,2.3572767389634,1.47840662791255,5.36316241230006,4.33107201983724,45655
"6189","Botswana",45658,-24.9215,23.4684,0.011014958663512,2.44242843759715,0.674054771096164,2.07918124604762,3.53572152828684,45658
"6193","Argentina",45663,-28.9459,-62.7698,0.350859569745726,2.7759851563482,1.40106957330142,5.78923793550226,3.80950249718057,45663
"6196","Mexico",45668,22.4701,-100.499,0.301267806441362,2.58442882730428,1.61025356237844,5.19781516944518,3.82053390533369,45668
"6203","Australia",45677,-23.2723,145.639,0.0116716549786139,2.57057768426877,1.20481126791367,5.36316241230006,4.33107201983724,45677
"6205","Poland",45679,51.3591,23.4684,0.0431395567648375,2.62859872749828,1.11612469803495,4.79177483365164,3.67849955374174,45679
"6207","Myanmar",45681,19.0916,96.232,0.202230925135187,2.93456908450686,1.66399516194891,3.59228781595213,2.23757342070395,45681
"6210","Kazakhstan",45684,48.4596,85.4522,0.276887635467801,2.27491346687125,1.16157231547989,4.50851625226694,3.17598650936112,45684
"6211","Russian Federation",45685,59.9502,63.8926,0.00684559862034893,2.31232094850842,0.952917880256999,5.32502074550366,3.33487843404016,45685
"6212","Chile",45686,-17.3436,-69.9564,0.0398645843911553,2.48482924730516,1.91919063912499,4.98465330797233,3.69928062050879,45686
"6214","Georgia",45688,42.1292,42.333,0.208250762543927,2.48463450015592,1.94070260418003,4.33380987485523,2.91491025581416,45688
"6219","Mexico",45695,32.0845,-106.787,0.00571032629582507,2.26802327270821,1.1587372552709,5.19781516944518,3.82053390533369,45695
"6222","Kenya",45698,-1.33998,39.6381,0.28103337315959,2.59790076911605,1.24251621090813,4.28046454662692,2.62407708852023,45698
"6235","South Africa",45711,-30.5139,23.4684,0.361265488585221,2.38552115962497,1.43014617577468,5.25389021628127,3.49225402986176,45711
"6236","Angola",45712,-4.95121,12.6886,0.0669749877040428,2.83541310501346,0.676993368113735,2.44870631990508,2.7855635422284,45712
"6241","Sudan",45718,17.3749,35.1465,0.0151628127103081,1.9782267252843,0.987776160097009,3.72320931040511,2.58970408801578,45718
"6244","Canada",45722,50.7932,-99.6008,0.26812198170609,2.56683016350437,1.55635984170763,5.43420630841758,4.37324138608759,45722
"6245","India",45723,24.1442,68.3887,0.181909020050767,2.32736704447904,2.18894314889299,5.50520154772776,2.65874601931954,45723
"6248","Chile",45726,-42.8,-73.7925,0.238090924525021,2.73550860240487,2.27902792235134,4.98465330797233,3.69928062050879,45726
"6249","China",45727,32.846,97.1303,0.0140647007641903,2.51505340779365,1.56888678902204,6.95136909386879,2.99627669770714,45727
"6250","Kazakhstan",45728,43.4523,71.9774,0.0895902496426737,2.42298240787199,0.53785733396304,4.50851625226694,3.17598650936112,45728
"6257","Angola",45735,-5.8304,12.7047,0.0867981318733632,2.80104826842577,0.651997238737283,2.44870631990508,2.7855635422284,45735
"6258","Argentina",45736,-32.8185,-67.2614,0.0924819553343697,2.44147069411036,0.829085516997475,5.78923793550226,3.80950249718057,45736
"6260","United States",45739,38.6973,-113.076,0.111576697759343,2.34052083441334,1.54248508961794,6.47257508985315,4.55253120853509,45739
"6267","Mozambique",45746,-24.0996,31.5533,0.260204132712129,2.59959069010596,1.48947210867565,2.72916478969277,2.50009459561958,45746
"6268","Kazakhstan",45747,53.0152,72.8758,0.0344591293752639,2.17175256493366,0.577507294912172,4.50851625226694,3.17598650936112,45747
"6269","Russian Federation",45749,57.6193,92.6387,0.197608698162714,2.14217709457609,0.960233974640703,5.32502074550366,3.33487843404016,45749
"6271","Bolivia",45751,-16.4788,-62.7698,0.286193747228625,2.91502588903753,1.22130774856186,4.4215710245264,2.98847132047518,45751
"6273","United States",45753,43.4523,-110.381,0.219584811465482,2.38738982633873,1.42364605608311,6.47257508985315,4.55253120853509,45753
"6274","Bolivia",45755,-19.0606,-65.4648,0.00336064668011595,2.56861374503662,1.49960499911445,4.4215710245264,2.98847132047518,45755
"6276","Chile",45757,-53.5247,-71.7146,0.314257451913326,2.45576001342102,2.29483780978105,4.98465330797233,3.69928062050879,45757
"6277","South Africa",45758,-24.0996,30.6549,0.251676300687129,2.67418838817857,1.77829212171181,5.25389021628127,3.49225402986176,45758
"6280","Angola",45764,-16.4788,12.6886,0.105277876947829,2.42446354554369,0.594844373385178,2.44870631990508,2.7855635422284,45764
"6283","United States",45768,37.2755,-109.482,0.0839843484854465,2.38004964378885,1.50466109726617,6.47257508985315,4.55253120853509,45768
"6289","Turkey",45774,38.6973,30.6549,0.327323085116172,2.68663626926229,2.03953360074958,5.33782451404581,3.5953428256262,45774
"6291","Myanmar",45776,20.7904,98.0286,0.323513392557372,2.92751548252176,2.01995967506102,3.59228781595213,2.23757342070395,45776
"6292","Uruguay",45777,-32.8185,-56.4816,0.206587793940793,2.95177104162242,2.12279033756189,4.50852971897129,3.79013738663213,45777
"6297","Angola",45782,-5.85147,14.4853,0.110893532369443,2.85843872396744,0.727756061658783,2.44870631990508,2.7855635422284,45782
"6299","China",45784,47.8586,121.385,0.542820794916283,2.48542141912643,2.05631717499765,6.95136909386879,2.99627669770714,45784
"6302","Chile",45788,-17.3436,-69.0581,0.05703710815232,2.61266404355694,1.81346904437917,4.98465330797233,3.69928062050879,45788
"6303","Australia",45789,-33.5737,145.639,0.370893794320559,2.38245660646613,1.43749539264524,5.36316241230006,4.33107201983724,45789
"6309","Australia",45795,-18.2042,123.181,0.0024214809959896,2.7599756979984,1.36823789409345,5.36316241230006,4.33107201983724,45795
"6313","China",45800,43.4523,115.097,0.327042844091801,2.50806455521242,2.04156492417053,6.95136909386879,2.99627669770714,45800
"6317","Brazil",45804,-28.1517,-49.2971,0.397592427605412,2.8752318456008,1.62998340885609,5.98977763964001,3.58078294659351,45804
"6319","United States",45807,32.846,-92.4142,0.27071877519572,2.93608867081754,1.65650966643266,6.47257508985315,4.55253120853509,45807
"6320","Tanzania",45808,-6.75027,31.5533,0.122656211158649,2.82223425877689,0.866765876501247,1.7481880270062,2.58899405288781,45808
"6330","Kazakhstan",45820,54.6099,66.5876,0.13393655789448,2.17250910733861,0.787685472301762,4.50851625226694,3.17598650936112,45820
"6333","United States",45823,40.0912,-80.7362,0.241303146270117,2.8119777414802,1.60431676275842,6.47257508985315,4.55253120853509,45823
"6338","Argentina",45828,-31.2885,-58.2783,0.381214647151523,2.95109455684166,1.84672833924724,5.78923793550226,3.80950249718057,45828
