"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","groundnut_HgHa","AET_mean","groundnut_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"9842","Costa Rica",49870,10.3602,-84.3279,0.324895127571558,2.99141727721097,1.64024336095913,4.948994569896,3.57794255687113,49870
"9846","China",49876,35.826,89.9438,0.0187178285006668,2.31486997884649,0.215374268934676,6.95136909386879,2.99627669770714,49876
"9848","Brazil",49878,-7.64738,-35.8204,0.0659246670471775,2.67807375518287,1.79614638600622,5.98977763964001,3.58078294659351,49878
"9857","Pakistan",49889,30.5421,72.8758,0.288301881144785,2.10162025518671,2.12878534351655,5.06566932773143,2.7175806602292,49889
"9860","Argentina",49893,-38.5162,-59.2137,0.485721418391781,2.87529213636782,1.36298865824826,5.78923793550226,3.80950249718057,49893
"9864","Indonesia",49899,-3.01648,101.783,0.463892984060918,2.9880942421128,1.58042274458408,4.0484418035504,2.91077933629609,49899
"9866","Lesotho",49901,-30.5139,27.0617,0.213282979825845,2.70750427670372,1.11415883785393,0,2.66393928763576,49901
"9871","Peru",49907,-8.45054,-78.6894,0.358402447672234,2.46174975708953,1.32782793083132,4.21937492462626,3.31522015660823,49907
"9877","China",49913,45.3835,91.7404,0.0100098978285169,1.34177592784323,1.90781841664897,6.95136909386879,2.99627669770714,49913
"9889","Benin",49926,12.1321,3.70549,0.282065995059551,2.81791541516395,1.38421499320152,0,2.71242068625386,49926
"9893","Indonesia",49930,-2.64448,140.971,0.392110460140173,3.02654785542883,1.39586531580619,4.0484418035504,2.91077933629609,49930
"9896","Peru",49934,-5.85147,-73.5496,0.0271023936905544,2.91128605106837,1.40019148382097,4.21937492462626,3.31522015660823,49934
"9897","Kenya",49935,-2.16733,40.4794,0.255518640502703,2.76054139906224,1.21215108429778,4.28046454662692,2.62407708852023,49935
"9898","Angola",49936,-12.1,21.6718,0.136395639645694,2.83241386238689,0.702716323371804,2.44870631990508,2.7855635422284,49936
"9899","Kazakhstan",49937,47.2505,80.9606,0.299967634729314,2.47971580913327,0.497418347242277,4.50851625226694,3.17598650936112,49937
"9906","Mozambique",49945,-17.3436,36.0448,0.126233929261249,2.90277966579001,0.638306563059905,2.72916478969277,2.50009459561958,49945
"9909","Cameroon",49949,10.3587,15.3836,0.166485891198526,2.77769215499133,1.4144965247841,3.65791593682995,2.86238456188045,49949
"9911","Botswana",49952,-26.5486,22.5701,0.350612331814217,2.40749207021286,1.20449465838466,2.07918124604762,3.53572152828684,49952
