"","mean_groun","Fishnet_ID","COUNTRY","Groundnut_","Groundnut_Error_Ratio"
"258",0.412592292,12730,"Guinea-Bissau",0.41920222,1.016020483
"259",0.567499996,12737,"Argentina",0.433170599,0.763296215
"260",1.905154753,12857,"China",0.60218126,0.316079971
"261",1.018105258,12862,"Dominican Republic",0.502030003,0.493102259
"262",1.145172432,12886,"Costa Rica",0.512229754,0.44729487
"263",0.902667893,12897,"Burkina Faso",0.480796547,0.532639469
"264",0.51665743,13094,"Brazil",0.448868323,0.868792931
"265",0.697729309,13172,"South Africa",0.49043036,0.702894882
"266",1.49000001,13182,"Colombia",0.524958514,0.352321148
"267",0.702878118,13231,"India",0.481389868,0.684883845
"268",1.909999967,13254,"Indonesia",0.575366031,0.301238765
"269",0.519816842,13286,"Madagascar",0.44319989,0.852607792
"270",1.352781653,13354,"South Africa",0.511183548,0.377875873
"271",0.235051543,13429,"Angola",0.401059585,1.706262294
"272",0.014141414,13490,"Tajikistan",0.416343443,29.44142948
"273",1.700000048,13526,"Peru",0.5444435,0.320260873
"274",2.221936496,13553,"Vietnam",0.510217721,0.229627499
"275",1.488571678,13562,"Brazil",0.428842251,0.288089756
"276",0.194888095,13598,"Brazil",0.434663221,2.230322078
"277",0.309841103,13629,"Niger",0.416390391,1.343883645
"278",1.909999967,13635,"Indonesia",0.578895964,0.303086897
"279",2.059543371,13670,"Argentina",0.585503962,0.284288241
"280",0.572711288,13679,"Uruguay",0.444237119,0.775673761
"281",0.485357316,13830,"Angola",0.439988911,0.906525763
"282",0.454465428,13947,"China",0.46994136,1.034053046
"283",1.438635732,14021,"Mexico",0.488706845,0.33970159
"284",0.959761895,14064,"Kazakhstan",0.446130113,0.464834159
"285",1.389999986,14077,"Kazakhstan",0.513289537,0.369273052
"286",0.980135918,14187,"Nigeria",0.494827516,0.504856017
"287",0.437455647,14193,"Congo DRC",0.429886289,0.982696856
"288",1.830416635,14204,"Indonesia",0.583380411,0.318714548
"289",0.887190079,14210,"Bolivia",0.484670049,0.546297868
"290",0.215970408,14327,"Angola",0.402363318,1.863048377
"291",1.099689603,14355,"Guinea",0.480515434,0.436955512
"292",0.101354166,14361,"Kazakhstan",0.438149498,4.322954993
"293",2.059999943,14367,"Argentina",0.584265323,0.283623951
"294",0.241718098,14381,"Zambia",0.408877264,1.691545926
"295",0.101745213,14389,"Congo DRC",0.402484936,3.955812014
"296",2.008499944,14445,"Argentina",0.569014098,0.283303019
"297",1.794421934,14479,"China",0.585289295,0.326171501
"298",0.126518957,14624,"United States",0.481138198,3.802894123
"299",0.66604166,14685,"Kazakhstan",0.420799648,0.631791783
"300",1.342767358,14704,"Pakistan",0.505385498,0.376376068
"301",1.909999967,14882,"Indonesia",0.584477754,0.306009301
"302",2.059543371,15035,"Argentina",0.586610096,0.284825318
"303",0.049918731,15083,"Angola",0.397000927,7.952945098
"304",1,15147,"Fiji",0.499200283,0.499200283
"305",0.433758764,15260,"Tanzania",0.444360884,1.024442434
"306",0.828416453,15292,"Central African Republic",0.440123674,0.531283115
"307",0.636160349,15346,"Zimbabwe",0.446808354,0.702351781
"308",0.463333329,15414,"Kazakhstan",0.422794329,0.912505755
"309",2.341257973,15456,"Brazil",0.48977178,0.209191719
"310",0.476533315,15457,"Kenya",0.463018808,0.971639953
"311",1.55045312,15477,"China",0.561524972,0.362168301
"312",0.493276643,15493,"Niger",0.433384838,0.87858374
"313",0.300405204,15511,"Philippines",0.463762885,1.543791116
"314",0.804696966,15694,"Bolivia",0.472523255,0.587206458
"315",0.64450085,15711,"Peru",0.456621838,0.708489117
"316",0.090909091,15857,"Saudi Arabia",0.416513991,4.581653896
"317",1.40351094,15917,"South Africa",0.531918407,0.37899128
"318",0.051488584,15949,"Argentina",0.423887798,8.232655961
"319",0.125063053,16044,"Mozambique",0.423545362,3.386654586
"320",0.428369675,16052,"Zambia",0.421822716,0.984716568
"321",1.909999967,16072,"Indonesia",0.584207679,0.3058679
"322",0.541166897,16084,"Central African Republic",0.492700303,0.910440579
"323",0.12014003,16181,"Argentina",0.471283631,3.922786027
"324",0.810833325,16270,"Kazakhstan",0.476055468,0.587118774
"325",0.244722224,16290,"Ecuador",0.420002465,1.716241615
"326",0.596657321,16297,"Tanzania",0.441677907,0.740253897
"327",0.696335591,16304,"Brazil",0.443727949,0.637232901
"328",0.396361387,16335,"Uganda",0.442082645,1.115352452
"329",0.854029194,16370,"Kenya",0.482762501,0.565276345
"330",2.671350445,16426,"Greece",0.549729312,0.205787044
"331",1.458958343,16515,"Colombia",0.504994976,0.346133924
"332",1.052954541,16530,"Bolivia",0.477713399,0.453688531
"333",0.772361279,16587,"Cameroon",0.472065097,0.611197259
"334",0.680120093,16682,"Indonesia",0.535787281,0.787783344
"335",1.909999967,16685,"Indonesia",0.552688367,0.289365642
"336",2.514819962,16724,"China",0.61936294,0.246285201
"337",1.49000001,16770,"Colombia",0.542627819,0.364179742
"338",0.193086878,16894,"Mozambique",0.403548969,2.089986503
"339",0.019946947,16915,"Australia",0.403659559,20.23665872
"340",0.793692587,16970,"Philippines",0.480808078,0.605786278
"341",0.152575749,16982,"Namibia",0.383003617,2.510252249
"342",1.135810891,17087,"India",0.489259484,0.430757873
"343",1.48858384,17157,"Brazil",0.475693019,0.319560784
"344",1.639838519,17174,"Malaysia",0.561690652,0.342528027
"345",2.059543371,17282,"Argentina",0.584210289,0.283660105
"346",0.88618263,17311,"Vietnam",0.521661849,0.588661785
"347",0.134522971,17325,"India",0.435285878,3.235773599
"348",0.487024764,17363,"Congo DRC",0.433507268,0.890113399
"349",1.107993048,17433,"Mexico",0.512174225,0.462254006
"350",0.425408113,17457,"Brazil",0.438265632,1.030223963
"351",0.521249995,17519,"Kazakhstan",0.433304305,0.83127925
"352",0.709090937,17598,"Ethiopia",0.459132435,0.647494434
"353",0.318220092,17633,"China",0.410702416,1.290623774
"354",0.26244604,17728,"Angola",0.394702222,1.503936664
"355",0.020145985,17795,"Sudan",0.382106469,18.96687946
"356",0.193492538,17813,"United States",0.454521693,2.349039905
"357",1.209733679,17883,"India",0.497117618,0.410931453
"358",0.623205183,17919,"Mali",0.464249826,0.744938968
"359",3.05577422,18045,"United States",0.633123949,0.207189374
"360",0.628547363,18077,"Mexico",0.428036423,0.680993109
"361",0.284947255,18097,"Congo DRC",0.435848906,1.529577486
"362",0.306944453,18102,"Peru",0.420698948,1.370602869
"363",0.254545447,18154,"Libya",0.424103493,1.666120915
"364",1.035439879,18196,"Australia",0.470926793,0.454808437
"365",0.031210224,18303,"Sudan",0.37443436,11.9971699
"366",0.507073347,18313,"Tanzania",0.436505918,0.860833882
"367",0.972213741,18391,"El Salvador",0.534443731,0.549718347
"368",0.334652903,18508,"Zambia",0.416367014,1.244175712
"369",0.437977559,18705,"India",0.483763699,1.104539922
"370",0.961538462,18707,"Cuba",0.491914711,0.511591299
"371",1.836833282,18721,"Argentina",0.578964459,0.315197065
"372",0.575700934,18730,"India",0.427016538,0.741733273
"373",1.156876507,18814,"Laos",0.504166463,0.435799724
"374",0.246034481,18830,"India",0.46620488,1.89487619
"375",1.383765944,18903,"Brazil",0.432245077,0.312368633
"376",0.448633247,18904,"Namibia",0.419333422,0.934690919
