mean_rice_,Fishnet_ID,COUNTRY,Rice_Pr,Rice_Error_Ratio
0.07279216600,44631,Congo,0.39124010900,5.374755698
0.08155844400,12346,Russian Federation,0.43549093400,5.33961798
0.08155844400,67088,Russian Federation,0.43500240200,5.333628018
0.07734352800,54463,Brazil,0.41116812000,5.316128326
0.07628195000,53012,Peru,0.40410196100,5.297478119
0.07773106600,50843,Turkey,0.40869111900,5.257757806
0.11333179500,65257,Spain,0.59505752200,5.250578816
0.07340277700,48407,Sudan,0.38489409000,5.243590307
0.07277148700,47033,Congo DRC,0.38145074000,5.241760966
0.08722222500,66640,Kazakhstan,0.45704876800,5.240049403
0.08332784500,42758,Angola,0.43535046000,5.224549609
0.07670432500,42855,Brazil,0.39880784900,5.199287641
0.07678923300,49583,Congo DRC,0.39694184400,5.169238297
0.09778810300,60079,China,0.50415403700,5.15557641
0.07972222300,66124,Turkmenistan,0.41096464700,5.154957194
0.09836147200,53947,Mali,0.50658382200,5.150226117
0.08052850700,54751,Peru,0.41344395500,5.134131631
0.09895158800,5558,Angola,0.50388547700,5.092242451
0.07648360000,26437,Congo,0.38925922300,5.089446927
0.08299048700,53406,Guyana,0.41976335400,5.057969524
0.08888165300,55887,Malawi,0.44880088700,5.049421021
0.08636363500,36365,Namibia,0.43469331200,5.033291061
0.10546844100,43067,Brazil,0.53084861600,5.033246068
0.10363636200,38805,South Africa,0.52155254100,5.032524598
0.13028435500,41898,Myanmar,0.65476166500,5.025635388
0.09294504000,64812,Egypt,0.46702215800,5.024713078
0.08991184800,12142,Bolivia,0.45139251100,5.020389649
0.08416666600,56035,Kazakhstan,0.41761093100,4.961714071
0.08037037300,64061,Uzbekistan,0.39619611500,4.929628919
0.08416666600,63439,Kazakhstan,0.41419709600,4.921153655
0.08378881900,56996,Brazil,0.41179775800,4.914710136
0.08007575700,45718,Sudan,0.39327211100,4.911250617
0.08437475600,49772,Brazil,0.41376352000,4.903878122
0.08046791000,52644,Congo,0.39262865000,4.879319595
0.07977098800,43747,Congo,0.38882206000,4.874228962
0.09579836800,51895,Uganda,0.46530349400,4.857112952
0.10593750300,73058,Ukraine,0.51331899100,4.845488863
0.09770808000,65686,China,0.47156263000,4.826239857
0.08264462800,47302,Gabon,0.39662370300,4.799146812
0.08321014600,49729,Peru,0.39748825900,4.776920581
0.08711693200,51775,Brazil,0.41445514700,4.757458022
0.08701146400,55545,Brazil,0.41340446100,4.751149354
0.09111111300,49998,Turkmenistan,0.42871566200,4.705415705
0.09515151800,60408,Russian Federation,0.44770071400,4.705134752
0.09794814600,49876,China,0.46038024800,4.700244638
0.08190851500,57351,Congo DRC,0.38463555500,4.695916597
0.08615814900,51534,Peru,0.40383954400,4.687189183
0.08437475300,55421,Brazil,0.39281082300,4.655549309
0.08827403200,52372,Brazil,0.40864932400,4.629326595
