mean_cassa,Fishnet_ID,COUNTRY,Cassava_Pr,Cassava_Error_Ratio
0.525495942,25822,Brazil,0.631465721,1.201656703
0.485757597,70096,China,0.580947464,1.195961664
0.597154502,39451,Brazil,0.714143142,1.19591017
0.440774647,45821,Brazil,0.526067021,1.193505626
0.396730963,59558,Gabon,0.469361518,1.183072565
0.412258293,54111,Myanmar,0.486000521,1.17887385
0.410976497,52349,Congo DRC,0.47410029,1.153594654
0.928303797,43021,Brazil,1.055904939,1.137456232
0.415555553,56582,Ethiopia,0.4723103,1.136575595
0.437044568,57388,Congo DRC,0.495230689,1.13313544
0.933053898,49772,Brazil,1.055649557,1.13139183
0.667916695,64595,China,0.746642246,1.11786732
0.437044568,53901,Congo DRC,0.487907893,1.116380179
0.445277797,48990,Kazakhstan,0.496839778,1.115797332
0.448958327,4845,Botswana,0.499743849,1.113118566
1.038981526,70012,China,1.147874107,1.104807043
0.534333356,65686,China,0.588182464,1.100778114
0.506590897,5558,Angola,0.557637077,1.100764108
0.542084949,50290,Peru,0.595878166,1.099233925
0.593703729,66371,China,0.651258071,1.096941183
0.534333356,42027,China,0.5853585,1.095493091
0.534333356,39487,China,0.585113932,1.095035385
0.465798855,44410,Botswana,0.509238471,1.093258314
0.405167296,53586,Sudan,0.441583363,1.089879088
0.667916695,44416,Nepal,0.72764565,1.089425755
0.699666556,44568,Peru,0.760946919,1.087585097
0.451598068,35562,Brazil,0.48842753,1.081553631
0.476775892,36934,Congo DRC,0.513730694,1.077509796
0.497784429,2288,Congo DRC,0.536029025,1.076829635
0.788944989,48662,India,0.84936063,1.076577761
0.428639882,51268,Congo DRC,0.460205769,1.073641974
0.480615698,43133,Central African Republic,0.51490845,1.07135171
0.40866505,57593,Congo DRC,0.437216298,1.069864668
0.497287909,55321,Liberia,0.531056378,1.067905269
0.511764161,34003,Gabon,0.544757122,1.064469073
0.647676795,28568,China,0.688698938,1.063337367
0.427973054,52644,Congo,0.454195429,1.061271089
0.363636362,53443,Sudan,0.384197152,1.056542173
0.507689937,57169,Central African Republic,0.534983412,1.053760126
0.5204705,39742,Kenya,0.543383688,1.04402399
0.711107799,53320,Mozambique,0.738782401,1.03891759
0.709996281,52418,Brazil,0.733649931,1.033315175
0.569355713,45691,Brazil,0.583870473,1.025493307
0.681502581,45906,Brazil,0.696120335,1.021449301
0.593401819,55887,Malawi,0.604004549,1.017867707
0.468091806,45628,Mali,0.475426346,1.01566902
0.836016272,48313,Brazil,0.845254744,1.011050589
0.977735843,59982,India,0.988209284,1.010711933
0.492652438,44311,Brazil,0.495150801,1.005071249
0.647676795,59275,China,0.650749273,1.004743844
0.501977624,55478,Central African Republic,0.504135142,1.004298036
0.568330631,51297,Mozambique,0.569457918,1.001983506
0.657833119,53624,Congo,0.658427634,1.000903747
0.597029383,48650,Uganda,0.597457639,1.000717311
0.814776253,46112,India,0.815091555,1.00038698
0.489874151,54365,Congo DRC,0.490044655,1.000348057
0.574252259,55407,Myanmar,0.571983111,0.996048517
0.429840551,58655,Congo DRC,0.427540215,0.994648397
0.982692361,28009,Brazil,0.970369635,0.98746024
0.537538548,58119,Brazil,0.529946387,0.985876062
0.468091806,53947,Mali,0.460404306,0.98357694
0.591182947,30978,Brazil,0.579085956,0.979537652
0.650952549,53158,Congo,0.63615162,0.977262661
1.165640448,56555,Mali,1.126622328,0.966526453
0.778390888,54571,Brazil,0.749703713,0.963145541
0.742129661,69222,China,0.714544426,0.962829629
0.639411758,54122,Peru,0.612782667,0.958353767
0.638236735,45828,Argentina,0.610846846,0.957085063
1.038981526,58680,China,0.990155944,0.953006304
0.828960574,42906,Malawi,0.789005105,0.95180052
0.628734636,48826,Botswana,0.597285544,0.949980341
1.133434392,59512,China,1.060125098,0.935321096
0.535978158,49955,Myanmar,0.499870351,0.932631943
0.666261309,53321,Kenya,0.620296769,0.931011242
0.573255863,44572,Brazil,0.533101754,0.929954299
0.496654391,58778,Congo DRC,0.461622094,0.92946343
0.650077285,43383,Brazil,0.595876496,0.916624084
0.646096466,47557,Mexico,0.590954044,0.914652958
0.781697088,43975,Bolivia,0.71457792,0.914136602
0.809595994,50624,China,0.736650703,0.909899145
1.145000049,49337,China,1.037245816,0.905891504
0.728636395,57913,China,0.659776046,0.905494223
0.624349382,51697,Congo DRC,0.565078627,0.905067969
0.53333333,56478,Ethiopia,0.480283341,0.90053127
0.493333331,52251,Sudan,0.443943204,0.899884877
0.538042257,50629,Congo DRC,0.482144186,0.8961084
0.582066543,41666,Mexico,0.515003506,0.884784587
0.815410925,41113,Peru,0.714529297,0.876281241
0.593703729,69848,Kazakhstan,0.518175739,0.87278505
0.589978993,56391,Chad,0.514748641,0.872486389
0.700294802,48021,Brazil,0.610087837,0.871187156
0.81711881,40045,Brazil,0.708286721,0.866809958
0.71447777,51677,India,0.618406989,0.865537061
0.674947397,62994,China,0.583190131,0.864052715
0.687929782,47794,Colombia,0.589949388,0.8575721
0.601209185,55240,Congo DRC,0.514564144,0.85588204
0.702600469,48314,Mexico,0.599029233,0.852588718
0.612561968,54651,Colombia,0.518901241,0.847099997
0.603454858,42879,Ecuador,0.511163299,0.84706137
0.656759799,52363,Congo,0.552159658,0.840733033
0.58695519,56619,Congo DRC,0.492683257,0.839388194
0.834895869,66825,China,0.699608003,0.837958396
0.582990725,49731,Congo DRC,0.488424796,0.837791709
0.742129661,39588,China,0.621703201,0.837728545
0.591182925,55783,Brazil,0.49356925,0.834884144
0.646729343,44007,Argentina,0.538876418,0.83323329
