mean_barle,Fishnet_ID,COUNTRY,Longitude,mean_barle_1,Barley_Pred,Barley_Error_Ratio,NEAR_DIST
3.227951518,7549,Hungary,46.63529968,3.227951518,0.63164442,2.596307098,2809783.812
2.916666667,7593,China,39.39780045,2.916666667,0.662188369,2.254478298,5977381.902
0.734375,7615,Mongolia,47.25049973,0.734375,0.416063205,0.318311795,5489668.931
2.463774083,7638,India,26.57789993,2.463774083,0.534405084,1.929368999,3598822.779
1.063671356,7662,Australia,-30.51390076,1.063671356,0.445799444,0.617871912,10463548.1
1.047200196,7805,Argentina,-35.79949951,1.047200196,0.476988439,0.570211757,13300877.44
2.033284426,7809,Canada,49.64049911,2.033284426,0.549692824,1.483591602,10963707.07
0.270312503,7828,Russian Federation,49.05360031,0.270312503,0.417739906,-0.147427403,7559147.043
3,7847,China,44.74689865,3,0.66404516,2.33595484,7167143.741
1.311878488,7882,Australia,-30.51390076,1.311878488,0.525977318,0.78590117,13080246.62
1.772711765,7889,South Africa,-27.35359955,1.772711765,0.567165175,1.20554659,6340015.119
0.943765685,7947,Uruguay,-32.05670166,0.943765685,0.516610466,0.427155219,12300742.08
0.578030293,7970,Bolivia,-16.47879982,0.578030293,0.439320455,0.138709838,12411382
2.230000019,8005,Thailand,14.76949978,2.230000019,0.611498635,1.618501384,6033512.382
1.706424594,8056,Australia,-34.07490158,1.706424594,0.492848913,1.213575681,11944549.83
2.30075919,8094,United States,45.38349915,2.30075919,0.617561542,1.683197648,10978160.64
0.24714286,8123,Russian Federation,59.95019913,0.24714286,0.505078542,-0.257935682,3633463.499
1.520684828,8206,Argentina,-33.57369995,1.520684828,0.557948738,0.96273609,12755192.7
2.204529423,8212,Brazil,-24.92149925,2.204529423,0.51446581,1.690063613,11589557.99
0.502421808,8395,Argentina,-38.67179871,0.502421808,0.435781947,0.066639861,13300432.74
1.953513493,8556,New Zealand,-40.02170181,1.953513493,0.597417281,1.356096212,15421182.19
5.226666537,8679,Zimbabwe,-20.75970078,5.226666537,0.79437197,4.432294567,5460967.639
5.220918551,8759,United Kingdom,56.15769958,5.220918551,0.780369495,4.440549056,4797703.05
1.220554181,8866,Argentina,-31.28849983,1.220554181,0.502752852,0.717801329,13082222.9
1.872395405,9006,United States,46.63529968,1.872395405,0.619865388,1.252530017,10622440.6
0.267738098,9043,Russian Federation,55.63940048,0.267738098,0.482633902,-0.214895804,4634415.372
1.919513793,9137,Tanzania,-10.3263998,1.919513793,0.575561701,1.343952092,4192883.209
0.03030303,9138,China,40.77759933,0.03030303,0.433494779,-0.403191749,4369950.973
0.847196928,9155,Tanzania,-2.243860006,0.847196928,0.478126771,0.369070157,3454159.811
0.341249997,9212,Congo DRC,4.983910084,0.341249997,0.411903047,-0.07065305,3030364.62
3.133629712,9242,Canada,54.08509827,3.133629712,0.622237083,2.511392629,10540452.64
3.465912102,9286,Chile,-37.24940109,3.465912102,0.70753591,2.758376192,13966949.13
1.020545714,9349,Lebanon,34.3083992,1.020545714,0.54338367,0.477162044,929246.2716
2.469892366,9368,Turkey,40.76910019,2.469892366,0.630475294,1.839417072,1780141.724
0.212499996,9371,Kenya,-0.435754001,0.212499996,0.420292365,-0.207792369,3079787.484
0.764509475,9522,United States,44.10319901,0.764509475,0.517193157,0.247316318,11212157.39
0.951296334,9585,Kazakhstan,41.45700073,0.951296334,0.496326369,0.454969965,2701450.311
0.518220689,9598,Brazil,-31.21990013,0.518220689,0.430081594,0.088139095,11951003.11
1.40098393,9633,Argentina,-33.57369995,1.40098393,0.572887429,0.828096501,13075109.04
6.081212838,9730,France,47.85860062,6.081212838,0.866599167,5.214613671,4205061.358
0.144374999,9799,Congo DRC,4.082439899,0.144374999,0.384122982,-0.239747983,3061681.679
0.018148149,9863,Turkmenistan,38.69729996,0.018148149,0.394861363,-0.376713214,1815207.348
1.617662355,10009,Russian Federation,55.63940048,1.617662355,0.527355253,1.090307102,3139778.235
1.428333346,10031,Georgia,43.45230103,1.428333346,0.524912005,0.903421341,1698002.203
2.91302487,10155,Bosnia and Herzegovina,44.75350189,2.91302487,0.620412397,2.292612473,3044596.425
0.431682365,10242,United States,39.39780045,0.431682365,0.433087409,-0.001405044,11884754.8
