FISHNET_ID,Latitude,Longitude,cassava_HgHa,AET_mean,cassava_Fertilizer,Pesticide,GDP_Mean,cassavaBinaryGCO,Sim1.0x,Sim0.1x,Sim0.2x,Sim0.5x,Sim0.8x,Sim1.1x,Sim1.2x,Sim1.5x,Sim1.8x,Sim2.0x,Sim2.5x,Sim3.0x,Sim4.0x,Sim5.0x
55582,-6.75027,-61.8715,0.339631612,847.2738095,78.7889135,976736,3807.754204,1,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612,0.339631612
56996,-0.435754,-60.0749,0.34513041,970.4821429,69.67461502,976736,3807.754204,1,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041,0.34513041
44598,-4.95121,-68.1597,0.345155297,862.0982143,114.9386364,976736,3807.754204,1,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297,0.345155297
43389,-1.33998,-74.4479,0.353397386,812.7619048,37.73979613,16571,2065.427423,1,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386,0.353397386
58393,2.27666,-69.9564,0.371495377,937.9464286,50.77191042,476933,2463.075323,1,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377,0.371495377
47914,-1.33998,-66.3631,0.385911097,901.7053571,75.32686266,976736,3807.754204,1,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097,0.385911097
57728,-8.54258,-68.1597,0.403079282,771.5535714,64.41059022,976736,3807.754204,1,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282,0.403079282
45941,-3.14718,-62.7698,0.408833123,884.7876984,67.36440478,976736,3807.754204,1,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123,0.408833123
45821,-4.95121,-58.2783,0.440774647,880.3511905,76.49272937,976736,3807.754204,1,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647,0.440774647
35562,0.468577,-69.0581,0.451598068,894.5952381,75.40485935,976736,3807.754204,1,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068,0.451598068
44748,-5.85147,-65.4648,0.476081397,843.6190476,184.121541,976736,3807.754204,1,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397,0.476081397
44311,1.37279,-69.0581,0.492652438,933.8095238,75.4198183,976736,3807.754204,1,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438,0.492652438
