Fishnet_ID,AET_mean,PT_mean,SM_mean,Growing_Mean,GDP_Mean
550,NA,NA,NA,NA,NA
551,NA,NA,NA,NA,NA
552,NA,NA,NA,NA,NA
553,NA,NA,NA,NA,NA
554,NA,NA,NA,NA,NA
555,NA,NA,NA,NA,NA
556,428.547619,66.83008658,695.0666667,NA,29141.21247000000
557,NA,NA,NA,4.491525424,NA
558,173.9166667,20.25952381,1.072981366,NA,21431.45990000000
559,NA,NA,NA,NA,NA
560,NA,NA,NA,6.568627451,NA
561,NA,NA,NA,NA,NA
562,NA,NA,NA,NA,NA
563,NA,NA,NA,NA,NA
564,NA,NA,NA,NA,NA
565,NA,NA,NA,NA,NA
566,833.952381,150.9169372,3478.870147,NA,972.80347610000
567,NA,NA,NA,NA,NA
568,NA,NA,NA,NA,NA
569,NA,NA,NA,NA,NA
570,NA,NA,NA,NA,NA
571,NA,NA,NA,NA,NA
572,NA,NA,NA,NA,NA
573,NA,NA,NA,NA,NA
574,NA,NA,NA,NA,NA
575,NA,NA,NA,NA,NA
576,438.1904762,49.53637566,428.6829518,39.5,2023.86319000000
577,NA,NA,NA,NA,NA
578,NA,NA,NA,5.881818182,NA
579,412.0178571,179.1852381,325.9547484,NA,5002.57738000000
580,NA,NA,NA,NA,NA
581,NA,NA,NA,NA,NA
582,NA,NA,NA,NA,NA
583,NA,NA,NA,NA,NA
584,NA,NA,NA,NA,NA
585,NA,NA,NA,NA,NA
586,NA,NA,NA,NA,NA
587,NA,NA,NA,NA,NA
588,NA,NA,NA,NA,NA
589,NA,NA,NA,NA,NA
590,NA,NA,NA,NA,NA
591,NA,NA,NA,NA,NA
592,NA,NA,NA,NA,NA
593,NA,NA,NA,NA,NA
594,NA,NA,NA,NA,NA
595,NA,NA,NA,NA,NA
596,NA,NA,NA,NA,NA
597,NA,NA,NA,NA,NA
598,NA,NA,NA,NA,NA
599,493.6994048,54.02242063,205.5152492,NA,609.32834810000
600,NA,NA,NA,NA,NA
601,NA,NA,NA,NA,NA
602,NA,NA,NA,NA,NA
603,NA,NA,NA,NA,NA
604,NA,NA,NA,NA,NA
605,NA,NA,NA,NA,NA
606,NA,NA,NA,NA,NA
607,NA,NA,NA,NA,NA
608,NA,NA,NA,NA,NA
609,NA,NA,NA,NA,NA
610,NA,NA,NA,NA,NA
611,NA,NA,NA,NA,NA
612,NA,NA,NA,NA,NA
613,NA,NA,NA,NA,NA
614,NA,NA,NA,NA,NA
615,NA,NA,NA,NA,NA
616,NA,NA,NA,NA,NA
617,NA,NA,NA,0.646464646,NA
618,NA,NA,NA,NA,NA
619,NA,NA,NA,NA,NA
620,NA,NA,NA,4.385964912,NA
621,NA,NA,NA,NA,NA
622,NA,NA,NA,NA,NA
623,NA,NA,NA,NA,NA
624,NA,NA,NA,NA,NA
625,NA,NA,NA,NA,NA
626,NA,NA,NA,0.986486486,NA
627,NA,NA,NA,NA,NA
628,NA,NA,NA,NA,NA
629,NA,NA,NA,NA,NA
630,NA,NA,NA,NA,NA
631,NA,NA,NA,NA,NA
632,NA,NA,NA,NA,NA
633,NA,NA,NA,NA,NA
634,NA,NA,NA,39.5,NA
635,NA,NA,NA,NA,NA
636,NA,NA,NA,NA,NA
637,1224.666667,421.2420635,483.4791667,NA,1061.33013800000
638,NA,NA,NA,NA,NA
639,NA,NA,NA,NA,NA
640,NA,NA,NA,12.08080808,NA
641,125.375,12.99348073,2.989297161,NA,767.31262900000
642,NA,NA,NA,NA,NA
643,NA,NA,NA,NA,NA
644,487.3531746,59.7037037,283.461515,NA,609.32834810000
645,NA,NA,NA,4.181818182,NA
646,NA,NA,NA,NA,NA
647,NA,NA,NA,NA,NA
648,NA,NA,NA,NA,NA
649,NA,NA,NA,8.774193548,NA
650,NA,NA,NA,NA,NA
651,49.61607143,5.597985348,0.457875458,NA,7861.74980500000
652,NA,NA,NA,NA,NA
653,NA,NA,NA,NA,NA
654,NA,NA,NA,NA,NA
