"","X1","X2","distances"
"26378",14912492.9328,-2389758.88315,1535809.9195829
"26499",17687735.8707166,-6054305.19435498,3260394.17226359
"26720",14712492.9328,-3290516.78655,804361.468770554
"26767",13412492.9328,-3377081.28795,1908417.10951747
"27200",14444612.7151441,-1551064.27780313,2471997.37127309
"27221",15421264.2262906,-3794485.19972452,193839.485144168
"27430",16912492.9328,-3548141.3286,1695524.08304575
"27472",16812492.9328,-2847792.8487,1875822.8772015
"27519",15312492.9328,-3115372.02545,774772.630540867
"27558",16712492.9328,-3115372.02545,1652739.2965201
"27565",12912492.9328,-3115372.02545,2463058.89276287
"27718",16412492.9328,-2847792.8487,1558773.8386297
"27748",15998715.0394399,-4265321.83862729,837360.542589191
"27997",14612492.9328,-2108372.58065,1890556.4318779
"28106",13012492.9328,-3462959.48605,2278769.14531341
"28111",15012492.9328,-3203276.62205,724921.511810984
"28204",14812492.9328,-3290516.78655,741101.389218617
"28309",13012492.9328,-3548141.3286,2264438.10833628
"28366",12913560.5490677,-3462134.69270453,2376186.75265967
"28397",16012492.9328,-3963293.9918,764911.418475541
"28425",15012492.9328,-1918332.28425,1983822.64573702
"28436",16512492.9328,-3881724.4436,1261183.76389213
"28616",15512492.9328,-3203276.62205,732584.931309349
"28718",16712492.9328,-2757354.6945,1847364.59035582
"28810",13412492.9328,-3290516.78655,1933379.60987366
"28911",14712492.9328,-3115372.02545,941737.356740709
"28969",15347904.328347,-3726354.15340218,188065.928962616
"28997",13312382.5539818,-3716279.9803189,1946505.99588317
"29261",14012492.9328,-2013585.1064,2246576.45593148
"29417",16612492.9328,-3963293.9918,1363265.51268214
"29453",15812492.9328,-3632617.3477,616434.66789481
"29581",15012492.9328,-2013585.1064,1889297.41939591
"29768",15412748.4252449,-3632453.36694934,302030.174577411
"29954",14212492.9328,-3290516.78655,1198260.35949935
"30315",15512492.9328,-3632617.3477,365089.043666697
"30903",16312492.9328,-4663292.26855,1314375.68706867
"30991",16612492.9328,-3548141.3286,1402889.95513227
"31158",14912492.9328,-2482503.6033,1445495.27108535
"31163",13812492.9328,-3548141.3286,1478360.95719479
"31169",15516836.9142539,-1832264.56810229,2072539.45523341
"31181",14812492.9328,-1726507.8001,2205320.17205507
"31189",17003572.3676537,-2938450.67141371,1992862.32385175
"31303",15812492.9328,-3115372.02545,954694.774433387
"31634",16712492.9328,-3548141.3286,1500111.37015558
"31775",13855294.2715887,-1737264.55687537,2563860.87992732
"31865",16012492.9328,-3377081.28795,916589.972143504
"31880",14712492.9328,-3377081.28795,742358.754556382
"31953",15536571.0491979,-3955770.98401744,293251.24033144
"32056",15212492.9328,-2847792.8487,1040658.02264139
"32085",15112492.9328,-3290516.78655,613133.720389675
"32278",14912492.9328,-3462959.48605,543353.341900227
"32317",12652007.3133708,-2737803.43930138,2842317.12873062
"32388",14812492.9328,-2666317.15395,1297849.06861123
"32446",14612492.9328,-3290516.78655,874507.561879073
"32586",15912492.9328,-1629975.9613,2352569.03976425
"32639",12725614.3601444,-3022540.07849362,2669785.26769631
"32730",13313421.9901829,-2230404.72139392,2549936.55751649
"32762",13812492.9328,-3462959.48605,1500219.98083771
"32846",13288474.3887514,-3781377.42140768,1965727.98002539
"32891",14912492.9328,-2202676.04035,1718778.65234183
"32900",15184647.8837316,-1419217.40369188,2469409.07028388
"32948",16217896.342549,-4660167.44853958,1237307.0304556
"33038",14722589.3007665,-3521644.10619683,643098.652529743
"33148",14112492.9328,-2296477.34305,1956785.06036364
"33497",12836129.3179897,-3373345.9517069,2469362.20531545
"33598",13712492.9328,-3115372.02545,1721781.13664036
"33636",16112492.9328,-3881724.4436,861190.396874554
"33731",14112492.9328,-2202676.04035,2033796.66694428
"33936",13512492.9328,-3115372.02545,1902646.18076313
"33959",16312492.9328,-3377081.28795,1177641.2301763
"33998",15161298.9393516,-1287909.24933914,2601375.10350941
"34051",15556141.2315273,-4016628.93136091,330952.870259532
"34179",13812492.9328,-3115372.02545,1633023.01856086
"34202",12912492.9328,-3377081.28795,2393926.97896235
"34433",13512492.9328,-2757354.6945,2073950.63504686
"34496",14313115.778488,-1727144.83132081,2355492.59211167
"34527",16405560.0210381,-4197128.05962181,1194986.02203926
"34863",13412492.9328,-2296477.34305,2431742.27578686
"34873",16412492.9328,-3881724.4436,1161184.99372239
"34874",12696037.8439216,-2425518.35720739,2944067.96992131
"35034",13212492.9328,-2666317.15395,2376693.05093241
"35216",13781347.0835706,-3701622.63471485,1481710.17474684
