OBJECTID,COUNTRY,Fishnet_ID,OBJECTID_1,Fishnet__1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
40795,Congo,40794,1020,40794,96,0.66666666667,1.53999996185,3.83646416664,2.29646420479,1.80142946045,0.57979979648,172.93722820300
40798,Brazil,40797,1021,40797,1,0.00694444444,3.08607363701,3.08607363701,0.00000000000,3.08607363701,0.00000000000,3.08607363701
40806,Argentina,40805,1022,40805,98,0.68055555556,0.00000000000,1.63401412964,1.63401412964,0.85912642187,0.42851586003,84.19438934330
40824,Mexico,40823,1023,40823,17,0.11805555556,0.00000000000,0.57142448425,0.57142448425,0.03361320496,0.13445281982,0.57142448425
40843,Brazil,40842,1024,40842,54,0.37500000000,0.00000000000,2.72564029694,2.72564029694,1.80108713662,1.11319384073,97.25870537760
40858,Ethiopia,40857,1025,40857,61,0.42361111111,3.02840662003,6.81924486160,3.79083824158,5.09518211787,1.21699778375,310.80610919000
40894,Australia,40893,1026,40893,14,0.09722222222,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
40898,Russian Federation,40897,1027,40897,40,0.27777777778,3.39970707893,3.39970707893,0.00000000000,3.39970707893,0.00000000000,135.98828315700
40904,Zambia,40903,1028,40903,110,0.76388888889,3.73525071144,4.26547718048,0.53022646904,4.07289459705,0.18698811922,448.01840567600
40916,Mozambique,40915,1029,40915,78,0.54166666667,2.43779397011,3.28043246269,0.84263849258,2.83551912430,0.29557272592,221.17049169500
40917,Peru,40916,1030,40916,3,0.02083333333,1.39970707893,1.39970707893,0.00000000000,1.39970707893,0.00000000000,4.19912123680
40931,India,40930,1031,40930,99,0.68750000000,0.66516166925,1.70981454849,1.04465287924,1.30360513323,0.20942645666,129.05690819000
40935,Romania,40934,1032,40934,9,0.06250000000,2.24589920044,2.55970716476,0.31380796433,2.28076675203,0.09862032870,20.52690076830
40938,China,40937,1033,40937,74,0.51388888889,0.78020071983,4.56300210953,3.78280138969,3.86205790816,0.72150720056,285.79228520400
40950,South Africa,40949,1034,40949,71,0.49305555556,0.00000000000,4.44052362442,4.44052362442,1.31997761592,1.04042078891,93.71841073040
40953,Australia,40952,1035,40952,1,0.00694444444,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
40967,Australia,40966,1036,40966,24,0.16666666667,0.71020627022,1.89726507664,1.18705880642,1.64996115863,0.48208408589,39.59906780720
40972,Nicaragua,40971,1037,40971,64,0.44444444444,0.00000000000,2.63952636719,2.63952636719,1.03594056144,0.85878586544,66.30019593240
40985,Australia,40984,1038,40984,13,0.09027777778,1.25159788132,2.71506977081,1.46347188950,2.41650199890,0.49813972203,31.41452598570
40990,Côte d'Ivoire,40989,1039,40989,20,0.13888888889,0.88684523106,0.97358787060,0.08674263954,0.89780620337,0.02714528209,17.95612406730
41006,United States,41005,1040,41005,88,0.61111111111,0.00000000000,2.26554775238,2.26554775238,1.55066221411,0.74623165978,136.45827484100
41008,Botswana,41007,1041,41007,42,0.29166666667,3.35792922974,3.35792922974,0.00000000000,3.35792922974,0.00000000000,141.03302764900
41014,Argentina,41013,1042,41013,70,0.48611111111,0.29451274872,0.29451322556,0.00000047684,0.29451313019,0.00000019073,20.61591911320
41044,Sudan,41043,1043,41043,110,0.76388888889,0.00000000000,0.44907110930,0.44907110930,0.25345020457,0.17852321086,27.87952250240
41047,India,41046,1044,41046,99,0.68750000000,1.04316222668,2.75371360779,1.71055138111,1.30328229822,0.50317825346,129.02494752400
