Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes,Pest
Central African Republic,7,21,1,-,Not recorded,-,Not recorded,-,MbÈtid-Bessane (2006),-,Achatina fulica
CÙte d'Ivoire,8,-5.5,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); MËmËl et al. (2011); Raut and Barker (2002); Winter (1989),-,Achatina fulica
Ethiopia,9,39.5,1,-,Not recorded,Native,Not recorded,-,Raut and Barker (2002),-,Achatina fulica
Ghana,8.1,-1.2,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Monney (2001); Raut and Barker (2002),Became the dominant achatinid shortly after its introduction,Achatina fulica
Kenya,1,38,1,Widespread,Not recorded,Native,Not recorded,-,CABI (Undated a); Mead (1979); Raut and Barker (2002),-,Achatina fulica
Madagascar,-20,47,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Bequaert (1951); EPPO (2020); Raut and Barker (2002),First reported: Prior to 1800,Achatina fulica
Mauritius,-20.3,57.58333,1,Widespread,Not recorded,Introduced,1803,Invasive,CABI (Undated a); EPPO (2020); Facknath et al. (1999); Mead (1961),-,Achatina fulica
Nigeria,10,8,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Ademolu et al. (2013); Ashaye et al. (2001); Igbinosa et al. (2016); Okon et al. (2012),-,Achatina fulica
RÈunion,-21.1,55.6,1,Widespread,Not recorded,Introduced,1821,Invasive,CABI (Undated a); EPPO (2020); Graber et al. (1997); Mead (1961); Schotman (1989),-,Achatina fulica
Seychelles,-4.58333,55.66667,1,Widespread,Not recorded,Introduced,1840,Invasive,CABI (Undated a); EPPO (2020); Mead (1961); Schotman (1989),-,Achatina fulica
Tanzania,-6,35,1,Widespread,Not recorded,Native,Not recorded,-,Emberton et al. (1997),-,Achatina fulica
Togo,8.66667,1.08333,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated),"Original citation: EkouÈ & Kuevi-Akue, 2002",Achatina fulica
Bangladesh,24,90,1,-,Not recorded,Introduced,Not recorded,Invasive,Mead (1979); Jahan and Raut (1994),-,Achatina fulica
Brunei,4.5,114.66667,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); EPPO (2020),-,Achatina fulica
Cambodia,13,105,1,-,Not recorded,Introduced,Not recorded,Invasive,Mead (1979),-,Achatina fulica
China,35,105,1,Widespread,Not recorded,Introduced,1931,Invasive,CABI (Undated a); EPPO (2020); Huang DaNa et al. (2019); Jarrett (1931); Lv Shan et al. (2009); Lv Shan et al. (2009); Schotman (1989),-,Achatina fulica
Fujian,26.25,118,1,-,Not recorded,Introduced,Not recorded,Invasive,Lv Shan et al. (2009); Li LiSha et al. (2006),In the south,Achatina fulica
Guangdong,23.5,113.25,1,-,Not recorded,Introduced,Not recorded,Invasive,Lv Shan et al. (2009); Huang DaNa et al. (2019); Meng JinXiu et al. (2007),-,Achatina fulica
Guangxi,24,109,1,-,Not recorded,Introduced,Not recorded,Invasive,Lv Shan et al. (2009),-,Achatina fulica
Guizhou,27,107,1,Localized,Not recorded,Introduced,Not recorded,Invasive,Lv Shan et al. (2009); Tang LiNa et al. (2008),In one county,Achatina fulica
Hainan,19.25,109.75,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,Lv Shan et al. (2009); CABI (Undated),-,Achatina fulica
Yunnan,25,101.5,1,-,Not recorded,Introduced,Not recorded,Invasive,Lv Shan et al. (2009); Chen YuanXiao et al. (2008),In southern areas,Achatina fulica
Hong Kong,22.25,114.16667,1,Widespread,Not recorded,Introduced,1937,-,CABI (Undated a); EPPO (2020); Mead (1961); Schotman (1989),-,Achatina fulica
India,22,79,1,Widespread,Not recorded,Introduced,1847,Invasive,CABI (Undated a); Ayyagari and Krupanidhi Sreerama (2017); EPPO (2020); Jav Aregowda (2004); Jayashankar et al. (2015); Mead (1961); Naik et al. (2014); Parvate and Liji Thayil (2017); Raut and Ghose (1984); Reddy and Sreedharan (2006); Sheela Thakur (2004); Shree and Kumar (2002); Srivastava et al. (1985); Thakur (1998); Vanitha et al. (2008),-,Achatina fulica
Andaman and Nicobar Islands,11.70065,92.67517,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Prasad et al. (2004); Shah (1992),First reported: 1940s,Achatina fulica
Andhra Pradesh,15.83333,79.75,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); Ayyagari and Krupanidhi Sreerama (2017); Reddy and Sreedharan (2006),-,Achatina fulica
Arunachal Pradesh,27.06,93.37,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); Ramakrishna et al. (2005),-,Achatina fulica
Bihar,25.75,85.75,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,Thakur (1998); Ayyagari and Krupanidhi Sreerama (2017),-,Achatina fulica
Karnataka,14.66667,75.83333,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Basavaraju et al. (2000); Jav Aregowda (2004); Naik et al. (2014); Shree and Kumar (2002); Sridhar et al. (2012),-,Achatina fulica
Madhya Pradesh,23.5,78.5,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,Sheela Thakur and Rina Kumari (1998),-,Achatina fulica
Maharashtra,19.5,76,1,-,Not recorded,Introduced,Not recorded,Invasive,Avhad et al. (2013); Parvate and Liji Thayil (2017),-,Achatina fulica
Odisha,20.5,84.41667,1,-,Not recorded,Introduced,Not recorded,Invasive,Mead (1961); Ayyagari and Krupanidhi Sreerama (2017),-,Achatina fulica
Rajasthan,26.58333,73.83333,1,-,Not recorded,Introduced,1996,Invasive,Tehsin and Sharma (2000),-,Achatina fulica
Sikkim,27.75,88.5,1,-,Not recorded,Introduced,Not recorded,Invasive,Rahman et al. (2009),-,Achatina fulica
Tamil Nadu,11,78.33333,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Padmanaban et al. (2000); Vanitha et al. (2008); Vanitha et al. (2011),-,Achatina fulica
Uttar Pradesh,27.25,80.75,1,-,Not recorded,Introduced,Not recorded,Invasive,Saxena and Mahendru (2000),-,Achatina fulica
West Bengal,24,88,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Raut (1991); Raut and Ghara (1990),-,Achatina fulica
Indonesia,-5,120,1,Localized,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI (Undated a); EPPO (2020); Mead (1979); Nurinsiyah (2015); Rappard (1950),-,Achatina fulica
Irian Jaya,-5,138,1,-,Not recorded,Introduced,Not recorded,Invasive,Mead (1979),-,Achatina fulica
Java,-7.49167,110.00444,1,Widespread,Not recorded,Introduced,1925,Invasive,CABI (Undated a); Mead (1961); Schneider et al. (1998),-,Achatina fulica
Israel,31.5,34.75,1,-,Not recorded,Introduced,Not recorded,Invasive,Roll et al. (2009); EPPO (2020),Present in human dominated habitats,Achatina fulica
Japan,35.68536,139.75309,1,-,Not recorded,Introduced,1935,Invasive,CABI (Undated a); EPPO (2020); Mead (1961); Ohbayashi and Takeuchi (2007); Takeuchi et al. (1991); Tomiyama (2002); Yamashita et al. (1978),-,Achatina fulica
Bonin Islands,27,142.16667,1,-,Not recorded,-,Not recorded,-,Ohbayashi and Takeuchi (2007); Tomiyama (1993),-,Achatina fulica
Ryukyu Islands,26.5,128,1,-,Not recorded,Introduced,1935,Invasive,CABI (Undated a); EPPO (2020); Mead (1961),-,Achatina fulica
Laos,18,105,1,-,Not recorded,-,Not recorded,-,Inkhavilay et al. (2019),-,Achatina fulica
Malaysia,2.5,112.5,1,Localized,Not recorded,Introduced,Not recorded,-,CABI (Undated a); EPPO (2020); Foon et al. (2017); Mead (1979),-,Achatina fulica
Peninsular Malaysia,4,102,1,-,Not recorded,Introduced,1911,Invasive,CABI (Undated a); EPPO (2020); Jarrett (1923); Mead (1961); Mead (1979),-,Achatina fulica
Sabah,5.5,117,1,-,Not recorded,Introduced,Not recorded,Invasive,Schilthuizen and Rutjes (2001),-,Achatina fulica
Sarawak,2.5,113.5,1,Localized,Not recorded,Introduced,1928,Invasive,CABI (Undated a); EPPO (2020); Mead (1961); Mead (1979),-,Achatina fulica
Maldives,3.2,73,1,Widespread,Not recorded,Introduced,1957,Invasive,CABI (Undated a); EPPO (2020); Mead (1961); Muniappan (1987),-,Achatina fulica
Myanmar,21,96,1,Localized,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); EPPO (2020); Mead (1961); Schotman (1989),-,Achatina fulica
Nepal,28,84,1,-,Not recorded,Introduced,Not recorded,Invasive,Budha and Naggs (2008),First reported: 1930-1940,Achatina fulica
Philippines,13,122,1,Widespread,Not recorded,Introduced,1949,Invasive,CABI (Undated a); Chavez and Lara (2011); EPPO (2020); Mead (1961); Muniappan et al. (1986); Raut and Barker (2002); SobrepeÒa and Demayo (2014),-,Achatina fulica
Singapore,1.36667,103.8,1,Widespread,Not recorded,Introduced,1917,Invasive,CABI (Undated a); EPPO (2020); Jarrett (1923); Lim et al. (2018); Mead (1961); Mead (1979),-,Achatina fulica
South Korea,36.5,127.75,1,-,Not recorded,-,Not recorded,-,Cho et al. (2019),-,Achatina fulica
Sri Lanka,7.75,80.75,1,Widespread,Not recorded,Introduced,1900,Invasive,CABI (Undated a); EPPO (2020); Karunarathna et al. (2017); Marambe et al. (2001); Mead (1961); Naggs (2002); Raut and Barker (2002),-,Achatina fulica
Taiwan,24,121,1,-,Not recorded,Introduced,1932,Invasive,CABI (Undated a); Chao et al. (1993); EPPO (2020); Mead (1961); Wen et al. (2007); Wen HungChich et al. (2002),-,Achatina fulica
Thailand,15.5,101,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); Dusitsittipon et al. (2017); EPPO (2020); Mead (1961); Mead (1979); Sri-aroon et al. (2010),First reported: 1930s,Achatina fulica
Vietnam,16.16667,107.83333,1,-,Not recorded,Introduced,1937,Invasive,CABI (Undated a); EPPO (2020); Mead (1961); Mead (1979),-,Achatina fulica
Italy,42.83333,12.83333,1,Transient under eradication,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Spain,40,-4,1,Localized,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Anguilla,18.21667,-63.05,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Connor (2007); EPPO (2020),-,Achatina fulica
Antigua and Barbuda,17.05,-61.8,1,Transient under eradication,Not recorded,Introduced,2008,Invasive,CABI (Undated a); EPPO (2020); Pollard et al. (2008),Identified in Antigua in April 2008 in the south-west of the island. Not reported from Barbuda,Achatina fulica
Barbados,13.16453,-59.55165,1,-,Not recorded,Introduced,2000,Invasive,CABI (Undated a); Ciomperlik et al. (2013); EPPO (2020); James and Gibbs (2009); Pollard et al. (2008),-,Achatina fulica
Cuba,22,-79.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020); V·zquez et al. (2018),-,Achatina fulica
CuraÁao,12.16667,-68.96667,1,-,Not recorded,-,Not recorded,-,van Buurt (2016a),-,Achatina fulica
Dominica,15.5,-61.33333,1,-,Not recorded,Introduced,2007,-,CABI (Undated a); Ciomperlik et al. (2013); EPPO (2020); Pollard et al. (2008a),-,Achatina fulica
Dominican Republic,19,-70.66667,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Guadeloupe,16.25,-61.58333,1,Widespread,Not recorded,Introduced,1984,Invasive,CABI (Undated a); Anon (1989); Ciomperlik et al. (2013); Dard et al. (2017); EPPO (2020); Pollard et al. (2008),-,Achatina fulica
Martinique,14.66667,-61,1,Localized,Not recorded,Introduced,1988,Invasive,CABI (Undated a); Anon (1989); Ciomperlik et al. (2013); EPPO (2020); Mead and Palcy (1992),-,Achatina fulica
Netherlands Antilles,12.11721,-68.91964,1,-,Not recorded,Introduced,2013,Invasive,van Buurt (2016); EPPO (2020),-,Achatina fulica
Saint Lucia,13.88333,-60.96667,1,Localized,Not recorded,Introduced,2000,Invasive,CABI (Undated a); EPPO (2020); Jn Pierre (2008); Pollard et al. (2008),-,Achatina fulica
Trinidad and Tobago,11,-61,1,Few occurrences,Not recorded,Introduced,2008,-,IPPC (2009); EPPO (2020); Minott et al. (2018),"Found at Alyce Glen Gardens Petit Valley, North West Trinidad in Oct. 2008; restricted to an area 1.0 km≤",Achatina fulica
United States,39.76,-98.5,1,Localized,Not recorded,-,Not recorded,-,CABI (Undated a); EPPO (2020); NAPPO (2019); Smith et al. (2013),"Present, in Hawaii; under eradication in Florida",Achatina fulica
Florida,28.75054,-82.5001,1,Transient under eradication,Not recorded,Introduced,1969,Invasive,CABI (Undated a); Ciomperlik et al. (2013); EPPO (2020); Mead (1979); NAPPO (2011); NAPPO (2013); NAPPO (2013a); NAPPO (2019); Smith et al. (2013),"Single infestation found in 1969 and eradicated. Reported in September 2011 in Miami, under eradication",Achatina fulica
Hawaii,20.78785,-156.38612,1,Widespread,Not recorded,Introduced,1936,Invasive,CABI (Undated a); Cowie (1998); EPPO (2020); Mead (1961),-,Achatina fulica
Wisconsin,44.50024,-90.00041,1,-,Not recorded,-,Not recorded,-,Sheela Thakur (2003),-,Achatina fulica
American Samoa,-14.23377,-169.47767,1,Localized,Not recorded,Introduced,1977,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); Tauili'ili and Vargo (1993); Tillier et al. (1993),-,Achatina fulica
Christmas Island,-10.5,105.66667,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Lake and O'Dowd (1991); O'Loughlin and Green (2017); Sproul (1983),-,Achatina fulica
Federated States of Micronesia,6.924,158.162,1,-,Not recorded,Introduced,1938,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); Tillier et al. (1993),-,Achatina fulica
French Polynesia,-15,-140,1,Localized,Not recorded,Introduced,1967,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); Murray et al. (1988); Tillier et al. (1993),-,Achatina fulica
Guam,13.47861,144.81834,1,Localized,Not recorded,Introduced,1943,-,CABI (Undated a); Cowie (2000); EPPO (2020); Tillier et al. (1993),-,Achatina fulica
Marshall Islands,7.113,171.236,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); South Pacific Commission (1996),-,Achatina fulica
New Caledonia,-21.5,165.5,1,Localized,Not recorded,Introduced,1972,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); South Pacific Commission (1979); Tillier et al. (1993),-,Achatina fulica
Northern Mariana Islands,15.214,145.756,1,Localized,Not recorded,Introduced,1936,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); Tillier et al. (1993),-,Achatina fulica
Palau,7.503,134.621,1,-,Not recorded,Introduced,1938,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); Tillier et al. (1993),-,Achatina fulica
Papua New Guinea,-6,147,1,Localized,Not recorded,Introduced,1946,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); Mead (1961); Raut and Barker (2002); Tillier et al. (1993),Reached the outer islands of Papua New Guinea by 1946 and mainland New Guinea by 1976-1977,Achatina fulica
Samoa,-13.8,-172.13333,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); Raut and Barker (2002); South Pacific Commission (1979),First reported: 1990s,Achatina fulica
Solomon Islands,-8,159,1,Localized,Not recorded,-,Not recorded,-,CABI (Undated a); Cowie (2000); EPPO (2020); South Pacific Commission (1979); Stronge (2016),-,Achatina fulica
U.S. Minor Outlying Islands,5.875,-162.057,1,Widespread,Not recorded,-,Not recorded,-,Tillier et al. (1993),-,Achatina fulica
Vanuatu,-16,167,1,Widespread,Not recorded,-,Not recorded,-,CABI (Undated a); CABI (Undated); EPPO (2020); Tillier et al. (1993),-,Achatina fulica
Wallis and Futuna,-13.3,-176.2,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Cowie (2000); EPPO (2020); Tillier et al. (1993),-,Achatina fulica
Argentina,-34,-64,1,Localized,Not recorded,Introduced,2010,Invasive,GutiÈrrez Gregoric et al. (2013); Gregoric et al. (2011); GutiÈrrez Gregoric et al. (2011); Vogler et al. (2013),First detected in 2010 in Puerto Iguaz˙ City. A second occurrence was recorded in May 2013 in Corrientes city >600 km further south,Achatina fulica
Bolivia,-17,-65,1,-,Not recorded,Introduced,Not recorded,-,Vogler et al. (2013),"Commericalized in La Paz, not reported from the wild",Achatina fulica
Brazil,-10,-55,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); EPPO (2020); Fonseca and Nascimento (2004); Franco-AcuÒa et al. (2009); Paiva (1999); Santos et al. (2018); Vogler et al. (2013),First reported: 1980s,Achatina fulica
Alagoas,-9.58333,-36.41667,1,-,Not recorded,-,Not recorded,-,EPPO (2020); Santos et al. (2018),-,Achatina fulica
Amazonas,-3.75,-64.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Bahia,-12,-42,1,-,Not recorded,Introduced,Not recorded,Invasive,Paiva (1999); EPPO (2020),-,Achatina fulica
Ceara,-5,-39.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Distrito Federal,-15.75,-47.75,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Espirito Santo,-20,-40.75,1,-,Not recorded,Introduced,Not recorded,Invasive,Paiva (1999); EPPO (2020),-,Achatina fulica
Goias,-15.58071,-49.63623,1,-,Not recorded,-,Not recorded,-,CABI (Undated a); Ciomperlik et al. (2013); EPPO (2020); Paiva (1999),-,Achatina fulica
Maranhao,-5,-45,1,-,Not recorded,Introduced,Not recorded,Invasive,Ciomperlik et al. (2013); EPPO (2020),-,Achatina fulica
Mato Grosso,-13,-56,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Mato Grosso do Sul,-20.5,-55,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Minas Gerais,-18,-44,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,Paiva (1999); EPPO (2020),-,Achatina fulica
Para,-4,-53,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Paraiba,-7.25,-36.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Parana,-24.5,-51.33333,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,Paiva (1999); EPPO (2020),-,Achatina fulica
Pernambuco,-8.33333,-37.75,1,-,Not recorded,Introduced,Not recorded,Invasive,Paiva (1999); EPPO (2020),-,Achatina fulica
Piaui,-7.25,-42.33333,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Rio de Janeiro,-22.25,-42.5,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); EPPO (2020); Franco-AcuÒa et al. (2009); Paiva (1999); Santos et al. (2002); Vasconcellos and Pile (2001),-,Achatina fulica
Rio Grande do Norte,-5.75,-36.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Rio Grande do Sul,-30,-53.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Rondonia,-11,-63,1,-,Not recorded,Introduced,Not recorded,Invasive,Paiva (1999); EPPO (2020),-,Achatina fulica
Roraima,2.25,-61.25,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Santa Catarina,-27,-50,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,Paiva (1999); EPPO (2020),-,Achatina fulica
Sao Paulo,-22,-49,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,Paiva (1999); EPPO (2020); Fonseca and Nascimento (2004),-,Achatina fulica
Sergipe,-10.5,-37.33333,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Tocantins,-10.5,-48,1,-,Not recorded,-,Not recorded,-,EPPO (2020),-,Achatina fulica
Colombia,4,-73.25,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); EPPO (2020); Ossa-Lacayo and Ossa V. (2014); Ossa-Lacayo et al. (2012); Penagos-Tabares et al. (2019); Vogler et al. (2013),-,Achatina fulica
Ecuador,-1.25,-78.25,1,-,Not recorded,Introduced,2005,Invasive,Ciomperlik et al. (2013); Correoso and Coello (2009); EPPO (2020); Vogler et al. (2013),"First reported in Esmeraldas Province in 2005, and is established in most of the coastal provinces of the country, as well as on the Amazonian side of the Ecuadorian Andes",Achatina fulica
Paraguay,-23.33333,-58,1,-,Not recorded,Introduced,2010,Invasive,Vogler et al. (2013),"First detected in 2010 in Ayolas City, Department of Misiones",Achatina fulica
Peru,-10,-75.25,1,-,Not recorded,Introduced,Not recorded,Invasive,Vogler et al. (2013); EPPO (2020),-,Achatina fulica
Venezuela,8,-66,1,-,Not recorded,Introduced,1996,Invasive,CABI (Undated a); CABI (Undated); EPPO (2020); Herrera et al. (2016); MatÌnez Escarbassiere and MatÌnez Moreno (1997); Vogler et al. (2013),-,Achatina fulica
Angola,-12.5,18.5,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); Bandyopadhyay et al. (1998); CABI and EPPO (2006); EPPO (2020); Milliano et al. (1991),First reported: 1980s,Claviceps africana
Botswana,-22,24,1,-,Not recorded,-,Not recorded,-,EPPO (2020); CABI and EPPO (2006); Herb IMI (Undated); Molefe (1975),-,Claviceps africana
Burkina Faso,12.5,-1.66667,1,-,Not recorded,-,Not recorded,-,Bandyopadhyay et al. (1998),-,Claviceps africana
Burundi,-3.5,30,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); Bandyopadhyay et al. (1998); CABI and EPPO (2006); EPPO (2020),First reported: 1980s,Claviceps africana
Eswatini,-26.5,31.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020); CABI and EPPO (2006); Milliano et al. (1991),-,Claviceps africana
Ethiopia,9,39.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020); CABI and EPPO (2006); Frederickson et al. (1994); Herb IMI (Undated); Hulluka (1982); Hulluka and Gebrekidan (1980),-,Claviceps africana
Ghana,8.1,-1.2,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); CABI and EPPO (2006); EPPO (2020); Herb IMI (Undated),First reported: 1980s,Claviceps africana
Kenya,1,38,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); CABI and EPPO (2006); EPPO (2020); Herb IMI (Undated),First reported: 1980s,Claviceps africana
Lesotho,-29.5,28.25,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); CABI and EPPO (2006); EPPO (2020); Milliano et al. (1991),First reported: 1980s,Claviceps africana
Malawi,-13.5,34,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); CABI and EPPO (2006); EPPO (2020); Milliano et al. (1991),First reported: 1980s,Claviceps africana
Mozambique,-18.25,35,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); CABI and EPPO (2006); EPPO (2020); Milliano et al. (1991); Plumb-Dhindsa and Mondjane (1984),First reported: 1980s,Claviceps africana
Nigeria,10,8,1,-,Not recorded,-,Not recorded,-,EPPO (2020); CABI and EPPO (2006); FUTRELL and WEBSTER (1965); FUTRELL and WEBSTER (1966); Mower et al. (1973),-,Claviceps africana
Rwanda,-2,30,1,-,Not recorded,-,Not recorded,-,EPPO (2020); CABI and EPPO (2006); Frederickson et al. (1994),-,Claviceps africana
Senegal,14.5,-14.25,1,-,Not recorded,-,Not recorded,-,EPPO (2020); CABI and EPPO (2006),-,Claviceps africana
South Africa,-29,24,1,-,Not recorded,-,Not recorded,-,EPPO (2020); CABI and EPPO (2006); Doidge et al. (1953); McLaren (1994); Milliano et al. (1991),-,Claviceps africana
Sudan,16,30,1,-,Not recorded,-,Not recorded,-,Paûoutov· and Frederickson (2005),-,Claviceps africana
Tanzania,-6,35,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); CABI (Undated); CABI and EPPO (2006); EPPO (2020); Mansuetus (1995); Milliano et al. (1991),First reported: 1980s,Claviceps africana
Uganda,1.25,32.5,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); CABI and EPPO (2006); EPPO (2020); Herb IMI (Undated),First reported: 1980s,Claviceps africana
Zambia,-14.33333,28.5,1,-,Not recorded,-,Not recorded,-,EPPO (2020); Angus (1965); CABI and EPPO (2006); Frederickson (1990); Herb IMI (Undated); Milliano et al. (1991),-,Claviceps africana
Zimbabwe,-19,29.75,1,-,Not recorded,-,Not recorded,-,CABI (Undated a); CABI and EPPO (2006); EPPO (2020); Frederickson (1990); Frederickson et al. (1991); Frederickson et al. (1993); Frederickson et al. (1994); Herb IMI (Undated); Mantle and Hassan (1994),"Samples obtained from Matopos, Bulawayo, Hunters Road, Kwe Kwe, Harare, Mazoe, Gwebi and Shamva",Claviceps africana
India,22,79,1,Localized,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Bogo and Mantle (1999); CABI and EPPO (2006); EPPO (2020); Navi et al. (2007),-,Claviceps africana
Andhra Pradesh,15.83333,79.75,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Bogo and Mantle (1999); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Gujarat,23,71.75,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Karnataka,14.66667,75.83333,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated),Original citation: Venkateshwaran et al. (2006),Claviceps africana
Madhya Pradesh,23.5,78.5,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Rajasthan,26.58333,73.83333,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated),Original citation: Venkateshwaran et al. (2006),Claviceps africana
Tamil Nadu,11,78.33333,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Uttar Pradesh,27.25,80.75,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated),Original citation: Venkateshwaran et al. (2006),Claviceps africana
Japan,35.68536,139.75309,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI (Undated); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Honshu,36,138,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Kyushu,32.42944,130.99099,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI (Undated); CABI and EPPO (2006); EPPO (2020); Mantle and Hassan (1994),-,Claviceps africana
Thailand,15.5,101,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI and EPPO (2006); EPPO (2020); Frederickson et al. (1991),-,Claviceps africana
Yemen,15.5,47.5,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); CABI and EPPO (2006); EPPO (2020),First reported: 1980s,Claviceps africana
Dominican Republic,19,-70.66667,1,-,Not recorded,Introduced,1997,-,CABI (Undated a); Bandyopadhyay et al. (1998); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Haiti,19.07582,-72.29616,1,-,Not recorded,Introduced,1997,-,CABI (Undated a); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Honduras,15,-86.5,1,-,Not recorded,Introduced,1996,-,CABI (Undated a); Bandyopadhyay et al. (1998); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
Jamaica,18.16667,-77.25,1,-,Not recorded,Introduced,1997,-,CABI (Undated a); Bandyopadhyay et al. (1998); CABI and EPPO (2006); EPPO (2020),-,Claviceps africana
