Fishnet_ID,COUNTRY,mean_wheat,NEAR_DIST,Producer
36591,Russian Federation,1.427596943,1359379.881,Top
67624,Russian Federation,1.532002714,1359391.62,Top
49838,Russian Federation,1.107908487,1359470.283,Top
66939,Poland,3.689644584,1359476.125,Bottom
72601,Russian Federation,1.107908487,1359907.177,Top
52054,Kyrgyzstan,2.406587186,1360175.173,Bottom
73131,Kazakhstan,0.919788778,1360181.96,Bottom
58584,Kazakhstan,1.414351794,1360488.672,Bottom
73295,Russian Federation,2.059316094,1360664.575,Top
55779,Belarus,2.313231624,1360947.394,Bottom
46267,Chad,1.384379223,1360952.954,Bottom
60749,Belarus,2.158678361,1361079.512,Bottom
74284,Russian Federation,1.716525245,1361183.965,Top
64678,Russian Federation,1.607267403,1361400.8,Top
70329,Belarus,2.320937775,1361692.298,Bottom
63833,Tunisia,0.031118113,1362187.364,Bottom
73680,Kazakhstan,0.019902745,1362213.153,Bottom
41244,India,1.975724179,1362215.08,Top
41539,Russian Federation,1.392281453,1362930.995,Top
66284,Russian Federation,0.956292128,1363087.953,Top
47378,Chad,1.67979705,1363475.439,Bottom
47797,Belarus,1.630261997,1363677.008,Bottom
61257,Russian Federation,1.543057313,1363686.705,Top
2952,Germany,4.21748514,1363761.77,Top
57724,India,0.930302376,1364912.342,Top
64627,Belarus,1.801329965,1365510.961,Bottom
74507,Kazakhstan,0.965590939,1365516.792,Bottom
55150,Russian Federation,1.074996612,1365695.72,Top
50816,Italy,0.774724089,1365792.921,Bottom
59795,France,0.205792369,1366584.648,Top
44467,Italy,0.806895572,1366598.678,Bottom
73929,Russian Federation,1.655714851,1366677.367,Top
68257,Poland,3.617597886,1367460.068,Bottom
72253,Russian Federation,1.826791628,1367487.684,Top
53567,Switzerland,1.500999976,1367545.523,Bottom
52265,India,2.2171747,1368532.807,Top
52452,France,1.745119286,1368767.21,Top
62126,France,0.70574677,1369410.646,Top
46866,Belarus,1.456962347,1369466.162,Bottom
50213,Italy,1.078875027,1369562.412,Bottom
65801,India,1.60549739,1371045.823,Top
60438,Russian Federation,1.195718158,1371317.288,Top
59757,Lithuania,3.077337692,1372508.217,Bottom
52973,France,0.427725315,1372762.819,Top
41097,Tunisia,0.014036697,1372987.849,Bottom
61588,Chad,0.946606944,1374220.723,Bottom
65711,Poland,3.29233819,1374278.38,Bottom
61395,Poland,3.763199707,1374344.177,Bottom
