Fishnet_ID,mean_sorgh,COUNTRY,NEAR_DIST,Producer
3583,2.639639923,Brazil,8615565.098,Bottom
226,2.142112624,Brazil,8618883.756,Bottom
2754,0.074556271,Australia,8619486.322,Bottom
1389,0.229633315,Australia,8621161.509,Bottom
5821,0.581539565,Brazil,8625585.653,Bottom
3320,0.281183652,Australia,8629804.555,Bottom
505,0.952117299,Australia,8632740.508,Bottom
176,0.848189002,Australia,8634788.132,Bottom
4363,2.126164491,Brazil,8634926.231,Bottom
43,0.02394182,Brazil,8636783.186,Bottom
5206,0.048800468,Australia,8638422.284,Bottom
1122,2.933457363,Brazil,8639671.959,Bottom
2288,2.203483997,Brazil,8647892.686,Bottom
2371,0.710893982,Brazil,8653621.312,Bottom
4860,0.981375705,Australia,8655539.032,Bottom
5166,1.306065026,Brazil,8658030.776,Bottom
936,1.624086328,Brazil,8663789.702,Bottom
4880,0.706283686,Brazil,8663813.517,Bottom
4249,0.385540456,Australia,8676077.494,Bottom
1271,1.863213048,Brazil,8677039.238,Bottom
82,0.719662897,Brazil,8681276.842,Bottom
5423,1.453044205,Brazil,8681827.053,Bottom
545,0.074556271,Australia,8686995.089,Bottom
3083,0.1942687,Brazil,8687997.418,Bottom
255,1.008880589,Brazil,8691043.482,Bottom
1430,0.732526866,Australia,8695109.821,Bottom
3491,0.376289887,Australia,8702057.157,Bottom
559,1.188734615,Brazil,8703537.741,Bottom
305,2.614663305,Brazil,8704650.365,Bottom
5595,0.109349198,Australia,8708390.944,Bottom
1950,2.083303634,Brazil,8710186.688,Bottom
699,0.065067291,Australia,8711457.465,Bottom
1526,1.395289268,Australia,8714202.65,Bottom
2467,0.914348254,Brazil,8718457.349,Bottom
1821,0.420589588,Australia,8718840.962,Bottom
2030,1.691181921,Brazil,8725930.604,Bottom
1331,4.167063605,Brazil,8728137.415,Bottom
3380,0.089467525,Australia,8731956.052,Bottom
3344,0.016266823,Australia,8736073.507,Bottom
1720,2.220033656,Brazil,8738684.107,Bottom
2229,0.943140288,Australia,8738972.388,Bottom
5230,1.034406879,Brazil,8746039.384,Bottom
829,1.059662927,Brazil,8748463.633,Bottom
2463,4.231172276,Brazil,8751652.537,Bottom
4552,0.044733763,Australia,8755699.641,Bottom
3850,0.658923688,Australia,8758987.959,Bottom
1623,1.534832561,Brazil,8767303.307,Bottom
2353,0.852104875,Brazil,8771123.265,Bottom
2364,1.483815743,Brazil,8773773.882,Bottom
510,1.709564556,Brazil,8775215.282,Bottom
1691,0.210294794,Australia,8777492.808,Bottom
3446,0.095680548,Australia,8779604.272,Bottom
4062,0.025702697,Australia,8783372.586,Bottom
3845,0.38158051,Brazil,8784474.38,Bottom
1620,0.369053543,Australia,8791895.828,Bottom
3127,0.473454404,Brazil,8793896.051,Bottom
1682,1.195333003,Brazil,8795230.897,Bottom
4284,1.149347019,Australia,8795840.679,Bottom
6162,0.021369557,Brazil,8799272.461,Bottom
2787,1.732276098,Brazil,8801645.2,Bottom
1200,0.075125403,Australia,8802480.789,Bottom
4235,0.25702697,Australia,8803067.103,Bottom
1810,0.014911254,Australia,8803565.364,Bottom
1037,1.583219798,Brazil,8811459.612,Bottom
1416,0.288963899,Brazil,8816768.682,Bottom
1794,1.309486048,Brazil,8817073.381,Bottom
2973,0.432272632,Australia,8822579.276,Bottom
5100,0.068560664,Brazil,8825352.367,Bottom
5352,0.089467525,Australia,8825604.53,Bottom
3908,1.788988132,Brazil,8829637.78,Bottom
4607,0.440617664,Australia,8837547.885,Bottom
1167,1.450647074,Brazil,8838594.785,Bottom
2118,0.364651824,Brazil,8839040.406,Bottom
192,1.44956828,Brazil,8839685.561,Bottom
1577,0.642567426,Australia,8841867.727,Bottom
2372,0.044733763,Australia,8848888.173,Bottom
1515,1.911061683,Brazil,8857736.177,Bottom
1909,0.115662137,Australia,8860040.142,Bottom
3052,0.520286229,Brazil,8861119.01,Bottom
120,1.552530679,Brazil,8865864.718,Bottom
3245,0.602354427,Brazil,8868518.54,Bottom
5221,0.01366865,Australia,8872318.12,Bottom
3175,0.486267241,Australia,8877646.564,Bottom
5294,0.54314293,Brazil,8878025.003,Bottom
3218,1.883025369,Brazil,8883296.356,Bottom
4154,1.810101249,Brazil,8885925.087,Bottom
3680,1.678262207,Brazil,8893254.297,Bottom
5015,1.141193744,Brazil,8894070.562,Bottom
5022,0.125714288,Guyana,8894513.83,Bottom
1931,0.029822508,Australia,8895805.418,Bottom
2299,0.137500003,Guyana,8899115.153,Bottom
4645,1.414369074,Brazil,8904588.238,Bottom
5311,0.835171172,Brazil,8905559.741,Bottom
2583,0.434180638,Australia,8905848.895,Bottom
820,0.081781309,Australia,8906352.184,Bottom
2440,0.900762444,Brazil,8908349.614,Bottom
8253,1.194373326,Canada,8915589.041,Bottom
3851,0.100000002,Guyana,8919235.691,Bottom
286,1.529555785,Brazil,8919792.914,Bottom
2788,1.82196066,Brazil,8920748.505,Bottom
899,0.432426373,Australia,8921030.185,Bottom
763,0.025702697,Australia,8924917.23,Bottom
978,0.205681998,Brazil,8927882.556,Bottom
4690,0.379685008,Brazil,8929755.922,Bottom
309,1.746251806,Brazil,8931283.112,Bottom
3361,0.078355044,Brazil,8931698.346,Bottom
2855,0.223668814,Australia,8942193.478,Bottom
3075,0.057650909,Australia,8942744.159,Bottom
5385,1.525311594,Brazil,8945671.324,Bottom
1832,1.824053707,Brazil,8948332.445,Bottom
1699,0.467755888,Brazil,8950170.466,Bottom
530,1.673220634,Brazil,8951258.687,Bottom
977,0.190290834,Brazil,8952526.584,Bottom
4715,0.249311504,Brazil,8954794.424,Bottom
5471,1.412722739,Brazil,8958094.954,Bottom
941,0.038554046,Australia,8959612.454,Bottom
3950,0.78856103,Brazil,8963740.587,Bottom
3942,0.068343249,Australia,8965151.247,Bottom
2305,1.80403589,Brazil,8971691.506,Bottom
1238,2.927389794,Brazil,8972845.668,Bottom
5368,1.950242132,Brazil,8975991.368,Bottom
3000,0.217924961,Brazil,8977903.683,Bottom
5840,1.466675421,Canada,8981349.568,Bottom
263,1.321697218,Brazil,8985009.172,Bottom
2091,0.780645178,Venezuela,8986898.692,Bottom
1251,0.044733763,Australia,8988173.202,Bottom
4664,1.573630561,Brazil,8988961.739,Bottom
3507,0.699132594,Brazil,8994504.767,Bottom
591,0.237439528,Brazil,8994883.95,Bottom
1993,0.962500021,Guyana,8996064.929,Bottom
518,0.893750019,Venezuela,8997055.501,Bottom
1144,0.477707819,Brazil,8997731.647,Bottom
619,1.499936278,Brazil,8997839.187,Bottom
1304,2.413715455,Brazil,8999754.525,Bottom
2822,0.235065147,Brazil,9001511.316,Bottom
3070,0.235065147,Brazil,9003231.557,Bottom
2705,0.014911254,Australia,9011252.112,Bottom
5716,0.492163354,Brazil,9012011.278,Bottom
5063,1.257924893,Brazil,9014332.951,Bottom
598,0.738655146,Brazil,9016224.047,Bottom
1966,0.500000011,Guyana,9016338.398,Bottom
794,0.652958697,Brazil,9017285.907,Bottom
5009,2.570160301,Brazil,9020605.187,Bottom
1686,1.588352514,Brazil,9024100.13,Bottom
4542,0.055077208,Australia,9025597.364,Bottom
3219,0.431372558,Trinidad and Tobago,9034252.469,Bottom
107,0.458333343,Guyana,9036880.355,Bottom
115,2.45639318,Brazil,9037895.131,Bottom
697,1.294261442,Brazil,9039086.912,Bottom
2604,0.860718279,Brazil,9039702.652,Bottom
2422,1.676471413,Brazil,9039840.383,Bottom
5375,1.909124621,Brazil,9041537.082,Bottom
9672,1.094842215,Canada,9046834.725,Bottom
4512,1.393948037,Brazil,9050460.164,Bottom
1755,1.566101729,Venezuela,9057012.014,Bottom
7076,1.527777811,Brazil,9057681.929,Bottom
1282,0.689039604,Brazil,9059590.488,Bottom
2089,1.574267101,Brazil,9062122.979,Bottom
1169,1.794539512,Brazil,9062538.561,Bottom
4306,1.722879068,Brazil,9065470.198,Bottom
641,1.895723515,Brazil,9066221.869,Bottom
2475,1.566666701,Venezuela,9072803.486,Bottom
5202,0.826657784,Brazil,9076905.204,Bottom
4581,0.089166669,Brazil,9078733.905,Bottom
3378,1.760863478,Brazil,9081312.251,Bottom
1222,0.364383314,Brazil,9083598.12,Bottom
2718,0.667079913,Brazil,9083942.973,Bottom
2739,1.891212519,Brazil,9084148.271,Bottom
218,1.570143889,Brazil,9088952.473,Bottom
2814,1.148789465,Brazil,9091208.581,Bottom
2712,2.539297068,Brazil,9091283.501,Bottom
2268,2.116666713,Venezuela,9092980.095,Bottom
4461,0.55692355,Brazil,9093883.593,Bottom
906,2.48780099,Brazil,9103049.322,Bottom
5762,0.009497581,Brazil,9103421.283,Bottom
4201,0.67498483,Brazil,9104704.417,Bottom
2116,0.569617399,Brazil,9108969.288,Bottom
5197,2.462594118,Brazil,9111583.37,Bottom
3791,0.0206574,Canada,9112036.66,Bottom
280,1.472727305,Venezuela,9113410.908,Bottom
1642,0.311223845,Brazil,9117041.773,Bottom
1740,1.914031026,Brazil,9124790.836,Bottom
1752,0.011871976,Brazil,9129994.567,Bottom
4826,1.735779854,Venezuela,9131739.068,Bottom
