mean_soybe,mean_sunfl,mean_wheat,Fishnet_ID,COUNTRY,NEAR_DIST
1.23579545500,0.97683917300,0.75911129100,45546,Kazakhstan,36539.53807260000
0.35156250000,0.12277844900,0.26228317000,73025,Kazakhstan,36880.73542690000
0.27343750000,0.21613970200,0.17638775400,61518,Kazakhstan,37073.54472710000
0.65604166500,0.00000000000,0.00000000000,59267,Russian Federation,37409.35854570000
0.22520833300,0.00000000000,0.30760853000,72399,Russian Federation,37510.31181260000
0.31263974700,0.00000000000,1.67157835300,59982,India,37565.73824490000
0.93020833100,1.91053316000,1.05538196200,66131,Russian Federation,37816.07862630000
0.49136363500,0.00000000000,0.00000000000,72652,Russian Federation,37862.82186230000
1.08338159800,0.00000000000,1.71828374900,59314,Nepal,38878.94623360000
0.46875000000,0.37052520400,0.28793876200,62966,Kazakhstan,39901.83151910000
