mean_groun,NEAR_DIST,NEAR_X,NEAR_Y
1.352781653,396569.0132,-59.62574047,-15.17488847
0.532387974,396687.4444,-65.01563217,-16.04546807
0.281060591,401591.9416,-58.72742519,-16.04546807
1.575977921,410467.6484,-61.89854725,-14.30070651
0.610000024,412941.8358,-62.32068632,-14.30066122
0.647325479,413624.4472,-61.42237104,-14.30066122
4.037938069,416903.1963,-65.01563217,-20.33727238
1.909999967,421260.1447,-64.11731689,-21.18220445
1.364121616,421460.573,-58.72742519,-20.33727238
0.531299743,424470.011,-59.62574047,-21.18220445
0.078926501,425146.2234,-65.91394746,-18.05164438
1.414094889,426246.2005,-65.91394746,-17.77494155
0.744254306,429988.8826,-65.91394746,-18.63347536
0.036905471,430962.2731,-57.8291099,-18.05279522
1.191428559,432056.4318,-57.8291099,-17.77494155
2.204968171,434062.0025,-63.21900161,-14.30066122
1.711731065,435721.3266,-57.8291099,-18.63347536
0.440507364,436007.4333,-60.52405575,-14.30066122
2.273552886,443427.9674,-65.91394746,-16.91221321
0.085354074,444191.1541,-61.89976569,-22.02234553
0.495694453,446368.8602,-62.32068632,-22.02227995
0.652870944,446973.3213,-61.42237104,-22.02227995
1.70086586,449042.2814,-57.8291099,-16.91221321
0.1875,453846.5244,-65.91394746,-19.48764166
1.160415713,457184.5013,-65.01563217,-15.17488847
1.704772727,459254.1641,-57.8291099,-19.48764166
0.338391346,461465.294,-58.72742519,-15.17488847
1.126111075,465151.2486,-63.21900161,-22.02227995
0.633484846,466889.3234,-60.52405575,-22.02227995
0.735751661,474079.5596,-64.11731689,-14.30066122
0.703587475,477045.5878,-59.62574047,-14.30066122
0.513002844,479552.0981,-65.91394746,-16.04546807
0.083416664,479778.3535,-65.01563217,-21.18220445
0.186060796,483722.7679,-58.72742519,-21.18220445
2.178710348,484771.9556,-57.8291099,-16.04546807
2.961568311,494637.4895,-65.91394746,-20.33727238
1.909999967,499578.2736,-57.8291099,-20.33727238
0.861893907,501144.9192,-64.11731689,-22.02227995
0.074851086,503831.4254,-59.62574047,-22.02227995
1,507573.1644,-61.8984762,-13.42302015
1.797307162,509585.001,-62.32068632,-13.42297741
1.57351748,510140.5967,-61.42237104,-13.42297741
0.246944441,520249.1509,-66.81226274,-18.07244383
0.348333329,521287.8042,-66.81226274,-17.77494155
2.059999943,523933.8432,-66.81226274,-18.63347536
0.170000007,526915.232,-63.21900161,-13.42297741
0.91174825,527101.3979,-56.93079462,-17.77494155
2.398019426,528525.6067,-60.52405575,-13.42297741
1.118741035,528720.2352,-65.01563217,-14.30066122
1.617236966,530989.1857,-65.91394746,-15.17488847
0.149772728,532442.0168,-58.72742519,-14.30066122
1.680655518,535728.9564,-57.8291099,-15.17488847
0.01287037,535827.4476,-66.81226274,-16.91221321
0.205273237,536663.4839,-61.89996578,-22.85741364
0.034218226,538954.1532,-61.42237104,-22.85734615
