SOURCE_ID,mean_sunfl,GiZScore,NEAR_DIST,NEAR_X,NEAR_Y
7275,0.379097202,1.178886931,14826542.33,38.2906255,-12.54203224
7306,0.519491027,1.702689261,9018238.871,48.17209363,54.87057396
7388,0.542788625,1.791120098,9438892.754,33.57407023,45.0670023
7400,0.106944442,0.165159042,5599203.052,-65.01563217,0.016412769
7404,0.581818169,1.934396314,13315516.99,14.93442811,-18.63347536
7423,1.464225042,5.222260501,15282017.45,32.00241851,-26.95256711
7447,1.279363622,4.534074801,8622866.464,-70.40552388,-33.19773203
7455,0.339652786,1.031538164,12141755.95,24.81589624,8.127972805
7480,0.275923006,0.794669886,9753218.447,57.15524647,49.93214842
7549,1.625519874,5.826156073,8632657.686,20.32431982,46.94469194
7583,0.203194439,0.525318527,6605188.039,-56.93079462,-5.401677201
7593,2.691670329,9.798099667,10746023.43,108.3592177,39.7462773
7638,0.526500021,1.729081234,12574178.67,79.61312857,26.98178314
7699,0.394545445,1.238461457,6789274.944,-57.8291099,-8.095480024
7715,0.893333313,3.094752296,4853923.178,-64.11731689,9.022090045
7750,0.823373197,2.834440429,13682096.65,78.71481329,16.94359866
7805,1.761919533,6.332643069,9014422.726,-65.91394746,-35.43356495
7809,0.656649167,2.213582674,1311000.231,-109.0330811,49.34878108
7828,0.080443501,0.067458553,8934739.852,131.715415,49.34878108
7847,1.868077404,6.729615885,9633707.889,124.5288928,45.0670023
7882,0.460567517,1.48221446,13695625.22,151.4783513,-30.1249931
7889,0.982581419,3.428122278,14669517.33,24.81589624,-26.95256711
7947,0.740777622,2.528936594,9083134.948,-56.03247933,-31.67419348
7970,0.776171858,2.659785294,7174326.708,-64.11731689,-16.04546807
8005,0.439999998,1.406040578,13546513.7,101.1726954,15.20655249
8075,1.539999962,5.5071628,7946212.639,-45.25269592,-11.65802482
8094,1.642378802,5.887226086,550339.0982,-98.68322494,45.0670985
8206,1.353033309,4.810069791,9016657.428,-60.52405575,-33.19773203
8212,1.424499965,5.076935489,8663437.539,-51.54090291,-24.51186634
8356,0.78182192,2.680166591,14630173.69,26.61252681,-23.68725562
8395,0.349770761,1.071191304,9338436.617,-65.01563217,-38.31966386
8679,0.512216337,1.675388923,14798572.72,31.10410323,-20.33727238
8694,0.852171626,2.941263356,14459102.68,78.71481329,9.913968571
8699,1.493333296,5.333276556,8676574.133,-48.84595706,-22.85734615
8866,1.618089459,5.797050416,8596180.338,-65.01563217,-30.90275818
9043,0.274005704,0.787812483,9348104.868,87.69796613,55.89339366
9057,0.168747504,0.395601459,15134625.13,33.79904908,-22.02227995
9137,0.309305559,0.918786298,14618035.36,38.2906255,-9.881638007
9138,0.02239503,-0.148726479,10970266.71,89.49459669,41.11907488
9155,0.136515153,0.275108033,13489698.07,32.00241851,-1.792030028
9286,1.28074997,4.538991899,8918790.218,-73.10046973,-36.89036885
9291,0.256102277,0.720916959,14471571.06,33.79904908,-12.54203224
9349,1.689897123,6.063683789,10506075.57,35.93832503,34.72190291
9368,0.913717148,3.173148517,9635824.869,30.20578794,41.11907488
9371,0.075833336,0.048865354,13982096.35,40.98557135,0.016412769
9452,0.582456129,1.936607187,1902587.873,-111.7488999,26.85360917
9482,0.654772744,2.205699341,12116719.75,27.51084209,10.80339589
9494,0.049202899,-0.051129302,15083984.74,124.4708363,-16.09333582
9522,1.058332582,3.711239699,448384.6192,-100.9482435,43.77953811
9585,0.75322955,2.574020887,10833410.24,67.93502988,41.79485858
9598,1.184410503,4.181505455,9196814.194,-52.4392182,-30.90275818
9633,1.779898405,6.40018137,8862060.5,-64.11731689,-33.19773203
