mean_rice_,NEAR_DIST,NEAR_RANK,NEAR_X,NEAR_Y
2.880027787,3029381.375,1791,82.30807442,35.46024618
1.629937052,3029606.62,1792,79.61312857,29.36955533
5.331318943,3030333.902,1793,111.0541635,-7.199269999
1.613968708,3031330.317,1794,78.71481329,22.65128334
3.638220383,3031382.527,1795,129.0204692,40.45658393
1.222174012,3031434.566,1796,78.71481329,22.8875601
6.716830452,3031546.428,1797,119.1390011,45.70002889
1.427843218,3031999.312,1798,78.71481329,22.05267853
1.411334238,3033451.816,1799,78.71481329,23.71727971
8.432912535,3033907.333,1800,126.3255233,42.46353935
1.023747488,3035191.206,1801,78.71481329,21.21278221
5.511682502,3037631.058,1802,90.39291198,43.12510269
1.778745493,3037997.841,1803,78.71481329,24.54169549
6.302211449,3038159.406,1804,122.7322622,44.42683895
1.14496913,3038460.38,1805,83.20638971,36.91655438
3.933102686,3039421.59,1806,79.61312857,15.20655249
3.772900018,3039718.023,1807,133.5120456,35.46024618
1.370821554,3041046.852,1808,78.71481329,20.36802369
3.57459361,3042875.497,1809,134.4103609,33.97684583
5.420201614,3043316.997,1810,111.9524788,-7.199269999
8.017334423,3044073.561,1811,125.4272081,43.12510269
2.99470311,3044667.63,1812,117.3423705,46.32592291
2.267385871,3044894.428,1813,113.7491094,-6.887867807
2.215111419,3045011.939,1814,78.71481329,25.36067104
3.098153563,3049593.921,1815,78.71481329,19.51856069
1.600288089,3051005.399,1816,79.61312857,30.15333299
4.109825452,3053033.899,1817,133.1885635,36.20304501
2.114150669,3054426.585,1818,78.71481329,26.1740754
1.768857533,3055509.769,1819,128.1221539,0.920742084
8.120466992,3058401.231,1820,124.5288928,43.77953811
5.713342076,3060665.905,1821,120.0373164,45.70002889
3.575816086,3060850.887,1822,78.71481329,18.66455611
4.611648731,3061957.79,1823,112.9789033,-7.199269999
4.104353527,3063066.495,1824,80.19439471,12.57406233
5.742741585,3063143.47,1825,121.8339469,45.0670023
3.576505937,3064498.291,1826,79.61312857,14.33245432
2.562530274,3066168.153,1827,78.71481329,26.98178314
0.103011426,3066342.844,1828,81.40975914,34.72190291
2.675435649,3067776.851,1829,82.30807442,36.19181514
4.085796497,3069024.327,1830,118.2406858,46.32592291
0.043212419,3071099.627,1831,92.18954255,44.42683895
1.983236708,3072258.086,1832,87.69796613,41.79485858
3.653049893,3073277.362,1833,86.79965084,41.11907488
0.540384128,3074340.206,1834,79.61312857,30.93086991
3.017899602,3074826.896,1835,78.71481329,17.80617783
1.60933192,3075175.018,1836,127.1056723,-0.294446074
1.833682524,3075670.774,1837,88.59628141,42.46353935
7.57417658,3076718.303,1838,123.6305775,44.42683895
5.043021235,3076992.901,1839,134.4103609,34.72190291
1.987643459,3078534.135,1840,115.2574914,-6.834717904
1.296760559,3078837.208,1841,85.90133556,40.43620685
3.475445522,3079731.701,1842,128.1221539,41.79485858
2.920836135,3080157.682,1843,78.71481329,27.78367435
0.204458773,3080527.216,1844,83.20638971,37.63441344
3.319171952,3080531.892,1845,119.3557091,-5.401677201
1.958152631,3080918.143,1846,127.2238386,-0.257010245
4.12692823,3081146.694,1847,129.0204692,41.11907488
4.254467178,3082743.598,1848,127.2238386,42.46353935
6.674043925,3083387.556,1849,89.49459669,43.12510269
1.328337457,3083506.003,1850,125.4272081,-1.800924974
8.192932579,3090056.581,1851,126.3255233,43.12510269
2.616237392,3091521.749,1852,78.71481329,16.94359866
6.319501986,3091695.743,1853,120.9356316,45.70002889
4.24377158,3092290.278,1854,79.61312857,13.45489258
4.013363529,3095263.339,1855,90.39291198,43.77953811
4.178267523,3095354.606,1856,119.1390011,46.32592291
1.25743518,3095589.691,1857,121.4963797,-4.500736801
3.624215597,3096311.664,1858,78.71481329,28.57963469
5.539103309,3098841.018,1859,122.7322622,45.0670023
0.034293034,3099511.197,1860,79.61312857,31.70207379
7.227386311,3101527.599,1861,125.4272081,43.77953811
3.038837069,3102020.091,1862,81.40975914,35.46024618
1.180339257,3107316.16,1863,82.30807442,36.91655438
4.682984007,3108021.874,1864,135.3362092,33.65680018
1.10111649,3108234.207,1865,80.51144385,33.97684583
3.967610619,3110926.02,1866,78.71481329,16.07699615
0.043212419,3111138.111,1867,91.29122726,44.42683895
2.439502393,3111791.001,1868,120.0373164,-5.401677201
4.748300685,3112463.333,1869,134.4103609,35.46024618
0.996253093,3112854.38,1870,125.8669926,-1.792030028
1.603132041,3113575.326,1871,121.8339469,-4.500736801
2.658306034,3114542.845,1872,78.71481329,29.36955533
7.562473377,3116998.613,1873,124.5288928,44.42683895
3.963473626,3119177.61,1874,135.3086762,33.97684583
2.064801306,3121933.583,1875,110.4367573,-8.095480024
1.920745389,3122484.257,1876,122.7694362,-4.051808863
4.883867621,3122750.261,1877,79.61312857,12.57406233
3.241797601,3123058.04,1878,81.36330928,8.48221811
1.561535041,3123601.876,1879,77.816498,22.83421983
6.659691824,3123606.503,1880,120.0373164,46.32592291
1.219780715,3123607.005,1881,77.816498,22.8875601
6.510648397,3124576.645,1882,121.8339469,45.70002889
1.441889631,3124702.727,1883,77.816498,22.05267853
1.049969558,3125007.528,1884,77.816498,23.71727971
3.695995525,3125136.307,1885,86.79965084,41.79485858
4.94106453,3125776.597,1886,87.69796613,42.46353935
2.892182969,3127476.617,1887,81.7049912,7.747635992
0.904112573,3128336.938,1888,77.816498,21.21278221
3.497090961,3128810.543,1889,111.0541635,-8.095480024
1.361248115,3128854.609,1890,77.816498,24.54169549
2.951054226,3128890.016,1891,85.90133556,41.11907488
1.905464967,3129088.133,1892,81.40975914,8.272600664
4.441241749,3129803.127,1893,114.0213823,-7.614445958
6.160347877,3130697.09,1894,88.59628141,43.12510269
0.038411039,3130839.418,1895,92.18954255,45.0670023
4.025572567,3132805.818,1896,129.0204692,41.79485858
3.94490551,3133021.286,1897,78.71481329,15.20655249
3.862176763,3133055.834,1898,128.1221539,42.46353935
0.895584431,3134544.005,1899,77.816498,20.36802369
1.982540762,3134761.009,1900,78.71481329,30.15333299
2.050394236,3135091.629,1901,77.816498,25.36067104
5.904452545,3136299.042,1902,123.6305775,45.0670023
3.590886618,3137033.674,1903,81.40975914,8.116889576
0.608975015,3137132.494,1904,85.00302027,40.43620685
4.887538049,3137582.118,1905,127.2238386,43.12510269
2.153909973,3137875.397,1906,80.8494272,9.218053992
3.632817624,3138087.785,1907,81.88061073,7.231832141
2.174685661,3138947.513,1908,81.40975914,36.19181514
3.549219536,3139672.838,1909,79.77135474,11.69016253
