mean_cassa,NEAR_DIST,NEAR_X,NEAR_Y
9.12589683,8049321.389,6.849590556,7.231832141
0.448958327,9096352.03,25.71421152,-20.33727238
16.03000069,17619337.07,100.2743801,32.46685781
18.94330795,1200227.368,-53.33753348,-25.33104167
2.753198512,9995280.877,32.00241851,-12.54203224
4.584660861,9928704.679,34.69736436,-22.02227995
6.010177522,11013033.42,46.37546306,-22.85734615
14.005987,822941.458,-54.23584876,-16.91221321
7,13010245.36,167.5503813,-22.63930886
1.484259323,16164435.31,86.79965084,39.7462773
15.33304414,17568461.15,121.8339469,39.7462773
8.801969622,4292323.928,-84.77856842,13.45489258
4.138788495,9929607.596,29.30747266,-6.30126233
10.06637571,17534957.97,101.2857362,2.843545028
4.579379559,6464547.109,-10.21839984,9.913968571
5.386990839,9142357.983,22.12095039,-7.199269999
0.506590897,8693490.796,21.2226351,-18.63347536
1.632685255,16791369.78,116.4440552,46.94469194
10.60456804,1949995.053,-43.45606536,-18.63347536
11.36304659,17861545.27,113.7491094,-0.887920689
10.83148137,15034035.29,155.8533635,-7.104926826
13.37272783,16998753.93,110.4367573,-8.095480024
0.759602698,15263445.63,72.85386336,18.66055394
7.193816662,17741497.4,99.37606482,29.36955533
14.38554121,2657016.245,-38.06617365,-11.65802482
0.653448734,1571924.98,-71.30383916,-7.199269999
9.774928266,8724317.304,11.34116698,12.57406233
9.209863934,1983916.391,-52.4392182,-2.695687276
6.541329834,813464.572,-63.21900161,-10.77115798
7.048291361,18606713.24,104.7659565,20.36802369
6.691992099,1312039.045,-56.03247933,-28.55084903
7.493242351,7848972.819,5.951275272,4.53345902
12.37760442,16855295.08,138.003622,-2.695687276
2.931485736,1624851.727,-54.23584876,-5.401677201
5.575920224,9431849.501,25.71421152,-9.881638007
3.454562498,15865890.71,78.71481329,27.78367435
11.43000031,4047797.587,-85.67688371,9.936528986
0.2383762,2313912.786,-68.60889331,1.824838998
5.337984479,11374374.51,48.17209363,-18.63347536
14.66083622,18311596.55,117.3423705,2.728475555
14.56342602,17857767.72,99.37606482,10.71186787
9.654582997,10748202.73,36.49399493,-4.500736801
4.301908016,15520067.62,75.12155215,26.98178314
0.890189807,17280222.89,92.04553613,21.18680005
0.532338354,1909381.345,-64.11731689,-0.887920689
11.63962269,16933551.05,119.1390011,-9.732071738
1.628484666,9917769.355,24.81589624,7.231832141
14.31348566,18390100.26,115.5457399,3.63142439
2.2579904,1403221.753,-56.93079462,-6.30126233
15.58472289,17389257.44,107.4609024,39.7462773
1.147175471,15964240.81,79.61312857,26.98178314
3.786502286,1090700.74,-57.8291099,-8.989674489
8.980791337,9012122.799,15.8327434,8.127972805
16.03000069,16945498.31,124.5288928,45.0670023
8.46999836,16887297.39,120.0373164,-10.10459461
9.958337459,185524.3185,-63.21900161,-16.91221321
16.80496473,18085065.91,100.2743801,14.33245432
11.80032621,1886393.266,-45.25269592,-12.54203224
15.55960673,1292972.293,-51.54090291,-24.51186634
3.2575335,6150506.307,-12.01503041,7.231832141
13.08132553,16723138.02,134.6673452,-6.774445984
5.3656264,9605493.086,31.10410323,-21.18220445
9.404213337,17928998.78,110.1558482,0.920742084
37.75233068,15670958.95,78.71481329,9.195255565
18.69536418,1463213.357,-48.84595706,-22.85734615
3.452003759,3640253.294,-90.19972688,-0.687081914
12.42548702,17163044.47,100.3378401,-0.887920689
2.705691699,9811168.88,33.79904908,-22.85734615
8.51899266,1718359.214,-52.4392182,-30.90275818
3.146542539,10707264.63,38.2906255,-10.77115798
0.161919199,16212969.56,88.59628141,41.11907488
2.164461439,10337762.25,32.00241851,-2.695687276
4.971221111,9919498.979,25.71421152,4.53345902
4.709218595,10148869.1,33.79904908,-13.42297741
7.896666447,11349268.5,40.98557135,-0.887920689
1.719999991,10291514.75,27.51084209,9.913968571
12.00760804,1580999.063,-47.94764178,-23.68725562
3.405896525,10424543.02,36.49399493,-13.42297741
2.060352961,9983485.063,26.61252681,3.63142439
3.881958663,6188056.366,-16.50660683,15.20655249
9.046344558,9205099.435,16.73105868,10.80339589
14.27323625,1097802.392,-51.54090291,-17.77494155
14.86142227,6903720.378,-6.625138706,11.69016253
0.109999999,10624628.41,29.30747266,14.33245432
14.12763019,2139264.647,-41.65943479,-19.48764166
11.4355085,1546954.927,-47.94764178,-14.30066122
0.051386861,11493885.47,36.49399493,18.66455611
16.45233645,7736548.156,1.459698851,12.57406233
2.369504277,9885797.678,23.01926567,11.69016253
2.85576275,9611664.291,25.71421152,-4.500736801
5.75,721595.2685,-61.42237104,-24.51186634
1.280896366,1433316.495,-56.93079462,-30.1249931
15.90856129,18604279.41,111.9524788,29.36955533
12.32099173,17871947.76,98.47774954,13.45489258
2.820092713,16719356.65,93.98617312,39.04931339
16.03000069,18978077.51,115.5457399,26.98178314
9.237233563,1096519.452,-67.71057803,-9.881638007
0.178381244,1204527.67,-63.21900161,-7.199269999
9.682860049,1581603.734,-47.04932649,-16.91221321
7.358153769,1870912.562,-77.59204615,-10.77115798
0.191627902,12775115.19,50.86703948,10.80339589
6.812750292,15670382.32,78.71481329,36.19181514
1.466244999,2058374.968,-74.8971003,-4.500736801
2.806941834,353941.3178,-62.32068632,-21.18220445
8.912530928,1003211.806,-53.33753348,-14.30066122
12.14845943,16889126.46,102.2569453,-5.454445932
7.837551746,691397.0883,-65.01563217,-12.54203224
7.035117361,8503813.139,12.23948226,4.53345902
8.513992429,1992015.164,-43.45606536,-15.17488847
16.15489525,717294.1857,-55.13416405,-17.77494155
10.61999989,15763035.63,147.8660541,-6.670835939
8.939393939,902115.3711,-61.42237104,-26.14465047
1.815644029,9886787.426,24.81589624,6.333885882
8.239999771,11814872.51,44.57883249,1.575237373
0.374609629,9857653.416,25.71421152,2.728475555
10.7601669,1016705.895,-67.71057803,-10.77115798
13.87637751,532442.0168,-58.72742519,-14.30066122
0.831387802,8940735.518,17.62937397,0.920742084
9.763727691,16633019.53,88.59628141,33.22514052
11.2469399,7002652.618,-3.03187757,6.333885882
14.50776542,2236632.166,-40.7611195,-20.33727238
1.8354902,9455607.269,18.52768925,12.57406233
0.502484918,316952.6576,-62.32068632,-15.17488847
0.812876523,1997726.8,-67.71057803,-0.887920689
7.943448823,2692479.374,-61.90035614,6.333906536
2.094378918,2063933.937,-76.69373087,-6.30126233
9.911701202,17093438.63,134.6580182,-2.695687276
2.661408794,3709213.503,-91.06677541,-0.887920689
2.443647219,2551084.438,-66.81226274,4.53345902
16.03000069,16688792.85,123.6305775,47.55634683
15.73314882,17243591.83,123.6305775,42.46353935
15.88157475,15617806.48,82.30807442,43.77953811
18.22814065,873351.2127,-56.03247933,-12.54203224
11.79863453,17394755.65,106.5625871,-2.695687276
0.216040611,584418.7181,-64.11731689,-22.85734615
1.724011815,9842630.95,32.00241851,-16.91221321
6.500893434,5960238.797,-16.24167292,11.08513601
5.044410626,377476.952,-63.21900161,-21.18220445
16.03000069,19202333.51,114.6474247,24.54169549
5.888210437,4093256.295,-71.30383916,17.80617783
4.478352423,3864671.757,-83.88025314,9.261192653
4.021701412,7340223.804,-3.03187757,13.45489258
7.152777579,11664398.78,42.78220192,2.728475555
11.60261219,2044342.264,-42.55775007,-19.01810706
0.063671596,1694006.802,-61.89864606,-2.695696164
9.846286962,3051178.671,-73.10046973,7.231832141
5.314677014,17431477.53,95.78280368,29.36955533
11.05972289,17406035.37,120.0373164,-5.401677201
7.96232501,11125652.35,46.37546306,-20.33727238
4.595876182,7898523.411,12.32624504,-14.23055507
10.86999989,1265993.928,-73.10046973,-14.30066122
10.58152459,18362337.32,105.6642718,9.175396134
19.15298898,1290810.396,-50.64258763,-22.85734615
18.46837415,8171227.712,5.052959987,14.33245432
11.92584324,17182736.25,121.0322093,-7.334717876
16.51878617,752272.5832,-55.13416405,-16.04546807
6.701250061,8326891.211,14.93442811,-8.989674489
4.675416867,16861555.85,91.29122726,33.22514052
1.058262799,10014294.98,26.61252681,4.53345902
8.98850069,1295799.866,-58.72742519,-29.34099072
16.03000069,18919049.35,113.7491094,26.98178314
5.19490763,16143169.26,89.49459669,43.12510269
8.269287109,8433944.651,9.544536408,9.913968571
4.031680273,9391563.457,23.91758095,-5.401677201
12.44262958,17325511.1,103.8676412,-1.792030028
5.488003175,352634.6086,-65.01563217,-16.91221321
13.89520755,3457282.219,-80.43687294,7.244582158
6.707638734,8703265,20.32431982,-15.17488847
5.49525547,6255297.014,-12.91334569,10.80339589
3.12931827,9598647.935,29.30747266,-16.04546807
11.3072451,17763767.22,113.7491094,-1.792030028
6.247954401,8374534.427,17.62937397,-16.91221321
13.14000034,12412847.08,177.5294945,-17.77494155
5.478132149,10180707.2,31.10410323,-4.500736801
6.779838085,7822269.404,5.693820626,4.53345902
1.96752082,9729388.667,23.01926567,7.231832141
12.94606645,7994584.591,3.256329419,14.33245432
3.667055072,9692606.565,31.10410323,-18.63347536
13.35784431,2542357.816,-39.86280422,-9.881638007
0.241430122,10963940.92,35.59567965,4.53345902
7.013971245,17862214.32,99.37606482,26.98178314
19.00143825,8310486.037,6.849590556,13.45489258
4.753134685,19706281.98,120.9356316,16.94359866
7.193816662,17547480.26,97.57943425,30.15333299
1.923340884,367084.0732,-65.01563217,-19.48764166
12.85805196,1723652.149,-74.8971003,-8.989674489
4.277085767,10581884.41,37.39231022,-11.65802482
5.480000218,9627936.805,29.30747266,-15.17488847
9.201451302,16367980.52,138.003622,-8.379613814
1.473539342,9321277.484,19.42600453,6.333885882
