SOURCE_ID,mean_wheat,GiZScore,NEAR_DIST,NEAR_X,NEAR_Y
3005,2.357455385,3.045992962,5483380.89,100.2743801,31.70207379
3068,0.655416653,0.65643263,5856546.292,98.47774954,15.20655249
3079,0.030180914,-0.218604594,10352643.54,-88.37182956,47.55634683
3092,0.949955863,1.069917792,13169117.76,-65.91394746,-28.55084903
3108,1.599612127,1.983048226,12330268.04,-100.9482435,32.46685781
3131,0.909015182,1.012860781,5025152.961,18.52768925,-10.77115798
3280,6.502320711,8.86178978,4663243.359,-2.133562286,53.82100625
3297,0.146968216,-0.056314112,4037266.885,36.49399493,-8.095480024
3302,4.267289457,5.724778917,6053537.369,108.3592177,39.7462773
3321,0.287159667,0.138925952,9865915.341,122.1749913,-17.24332691
3335,2.000652645,2.543200461,7124773.083,19.42600453,-32.43921198
3409,1.046560613,1.205053474,3333100.884,31.10410323,0.016412769
3512,1.448407774,1.768650647,11390901.34,-49.74427234,-22.02227995
3526,0.087331459,-0.139830129,773590.6954,41.88388664,34.72190291
3560,1.822700171,2.29455593,4935317.552,91.86587797,22.05267853
3592,1.423335624,1.732648097,11987588.56,-71.30383916,7.231832141
3679,1.139757783,1.336549386,4149915.941,32.00241851,-8.095480024
3693,2.05541993,2.619727177,14166069.7,-73.10046973,-51.61997903
3695,0.895151531,0.993161994,2204614.457,64.34176874,36.19181514
3705,2.25805562,2.904928939,2538836.872,67.03671459,39.04931339
3710,0.307399888,0.170938039,12162714.9,-109.9313964,38.34534672
3767,0.436968938,0.349972057,12980602.93,-66.81226274,-21.18220445
3820,1.731731662,2.16684924,3171334.428,74.22323686,22.8875601
3850,3.031304258,3.991107332,11777583.92,-118.0162339,44.42683895
3854,1.23107812,1.464422421,6070760.395,32.9007338,-26.14465047
3873,0.01452476,-0.242435426,3792943.444,45.47714777,61.91726393
3933,0.25158334,0.090409422,2225965.794,62.54513817,39.7462773
3985,7.083160505,9.677940124,3602159.669,13.13779754,51.07786445
3995,5.139394016,6.946767416,5276332.241,23.91758095,-16.04546807
4012,1.316637868,1.586474654,2348934.572,35.59567965,48.16090152
4035,0.720862141,0.747472769,12430343.84,147.8850902,-19.86999669
