Fishnet_ID,sunflower_HgHa,AET_mean,Growing_Mean,GDP_Mean,sunflower_Fertilizer
274,NA,NA,NA,NA,0.028843512
275,0.174999996,870.9315476,NA,2065.427423,28.89372598
276,NA,NA,NA,NA,0.015554765
277,NA,NA,NA,NA,0.027377776
278,NA,178.3035714,NA,6448.150281,0.10402911
279,NA,NA,NA,NA,0.017470635
280,NA,NA,NA,NA,0.019512848
281,NA,NA,NA,NA,0.023276604
282,NA,NA,NA,NA,0.021966669
283,NA,NA,NA,NA,0.025042307
284,NA,NA,NA,NA,0.032102307
285,NA,NA,NA,NA,0.022199394
286,NA,NA,NA,NA,0.016986234
287,NA,NA,NA,NA,0.023518809
288,NA,NA,NA,NA,0.026566525
289,NA,NA,NA,NA,0.020311341
290,NA,NA,0,NA,0.021397482
291,NA,NA,0,NA,0.017479543
292,NA,NA,0,NA,0.021786859
293,NA,NA,0,NA,0.017135841
294,NA,NA,0,NA,0.033972973
295,NA,NA,0,NA,0.039195374
296,NA,NA,0,NA,0.02545086
297,NA,NA,0,NA,0.018514235
298,NA,NA,0,NA,0.035474401
299,NA,NA,0,NA,0.017714812
300,NA,NA,0,NA,0.02177501
301,NA,NA,0,NA,0.026263887
302,NA,NA,NA,NA,0.027238537
303,NA,NA,NA,NA,0.016338453
304,0.25666666,853.5208333,12,3807.754204,36.82618425
305,NA,NA,NA,NA,0.036928468
306,NA,NA,NA,NA,0.030633617
307,NA,NA,NA,NA,0.02017908
308,NA,NA,NA,NA,0.021309927
309,NA,NA,NA,NA,0.020496962
310,NA,NA,NA,NA,0.017999847
311,NA,NA,NA,NA,0.01860511
312,NA,NA,NA,NA,0.031231926
313,NA,NA,NA,NA,0.030329327
314,NA,NA,NA,NA,0.0169359
315,NA,NA,NA,NA,0.02589971
316,NA,NA,NA,NA,0.018852949
317,NA,NA,NA,NA,0.0288379
318,NA,NA,NA,NA,0.029779132
319,NA,NA,NA,NA,0.034512497
320,NA,NA,NA,NA,0.035899061
321,NA,NA,NA,NA,0.025608421
322,NA,NA,NA,NA,0.020812907
323,NA,NA,NA,NA,0.023535069
324,NA,NA,NA,NA,0.019720829
325,NA,NA,NA,NA,0.029882019
326,NA,NA,NA,NA,0.023789018
327,NA,NA,NA,NA,0.023283741
328,NA,NA,NA,NA,0.02989503
329,NA,NA,NA,NA,0.038178698
330,NA,NA,NA,NA,0.04345156
331,NA,NA,0,NA,0.03115084
332,NA,NA,NA,NA,0.021950004
333,NA,NA,NA,NA,0.034189391
334,NA,NA,NA,NA,0.023153472
335,NA,NA,NA,NA,0.028959876
336,NA,2.767857143,NA,NA,0.025818051
337,NA,NA,NA,NA,0.024438596
338,NA,NA,NA,NA,0.021729105
