Groot_Taxon,Taxon,Database_Groot,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Lateral_spread,Mean_Root_diameter,Net_nitrogen_uptake_rate,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_cortex_thickness,Root_dry_matter_content,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_litter_mass_loss_rate,Root_mass_density,Root_mass_fraction,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal colonization,Root_N_concentration,Root_N_P_ratio,Root_P_concentration,Root_production,Root_stele_diameter,Root_stele_fraction,Root_tissue_density,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_vessel_diameter,Root_xylem_vessel_number,Rooting_depth,Specific_root_area,Specific_root_length,Specific_root_respiration
Acacia coriacea,Acaciacoriacea,Groot,,,,,,,,748.28,,,,,,,,,,,,0.988264578,,,,73.34,,,,,,,,,,,,,,
Acacia crassicarpa,Acaciacrassicarpa,Groot,,,,0.45186,,,2.24,443.15,21.40821256,7.2586,142.59,,0.33026,,,,,,,,1.478694,0.042472,36,38.67,,0.24592,,97.78,0.093653124,0.72,,,4.01,7461.7,,,216.56,
Acacia dealbata,Acaciadealbata,Groot,,,,,,,,710.78,,,,,,,,,,,,1.255451439,,,105.18,62.84,,,,,,,,,,,,,,
Acacia eburnea,Acaciaeburnea,Groot,,,,,,,,,,,,,,,,,,,,,,,67.12,,,,,,,,,,,,,,,
Acacia eriocarpa,Acaciaeriocarpa,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Acacia erioloba,Acaciaerioloba,Groot,,,,,,,,,,,,,,,,,,,,0.364,,,,,,,,,,,,,,,232,,,
Acacia farnesiana,Acaciafarnesiana,Groot,,,,,,,,,,,,,,,,,,,,1.07,,,79.98,,,,,,,,,,,,,,,
Acacia fleckii,Acaciafleckii,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,
Acacia gerrardii,Acaciagerrardii,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,
Acacia goetzei,Acaciagoetzei,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,
Acacia greggii,Acaciagreggii,Groot,12.94118137,,,,,,,,,,,,,,,,,,,1.740009781,,,,,,,,,,,,,,,,,476.6683977,
Acacia harpophylla,Acaciaharpophylla,Groot,,,,,,,,,,,,,,,,,,,,0.242,,,,,,,,,,,,,,,,,,
Acacia hockii,Acaciahockii,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Acacia implexa,Acaciaimplexa,Groot,,,,,,,,709.82,,,,,,,,,,,,1.365795815,,,,67.94,,,,,,,,,,,,,,
Acacia irrorata,Acaciairrorata,Groot,,,,,,,,680.82,,,,,,,,,,,,1.230736684,,,,58.72,,,,,,,,,,,,,,
Acacia leucophloea,Acacialeucophloea,Groot,,,,,,,,,,,,,,,,,,,,,,,40.74,,,,,,,,,,,,,,,
Acacia mangium,Acaciamangium,Groot,,,,8.348437764,,,2.16,450.94,18.1391794,6.6374,158.33,,0.62532,,,,,,0.001161972,0.49,1.1122796,0.043772,53,46.41,,91.87802,,115.28,0.104179722,0.58,,,4.86,5674.9,5,7786.935451,778.8437535,
Acacia mearnsii,Acaciamearnsii,Groot,,,,,,,,690.28,,,,,,,,,,,,1.28304513,,,66.24,64.16,,,,,,,,,,,,,,
Acacia melanoxylon,Acaciamelanoxylon,Groot,,,,,,,,745.56,,,,0.3341,,,,,,,,5.973326469,,,,67.56,,,,,,,,,,,,,,
Acacia melenoxylon,Acaciamelenoxylon,Groot,,,,,,,,1091.425,,,,0.334086899,,,,,,,,0.88648376,,,,101.7,,,,,,,,,,,,,,76.05170121
Acacia mellifera,Acaciamellifera,Groot,,,,,,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,
Acacia natalitia,Acacianatalitia,Groot,,,,,,,,,,,,,,,,,,,,0.343,,,,,,,,,,,,,,,,,,
Acacia neovernicosa,Acacianeovernicosa,Groot,37,,,,,,,,,,,,,,,,,,,1.987715618,,,,,,,,,,,,,,,,,773.0941966,
Acacia nigrescens,Acacianigrescens,Groot,,,,,,,,,,,,,,,,,,,,0.466,,,,,,,,,,,,,,,2.7,,,
Acacia nilotica,Acacianilotica,Groot,,,,,,,,,,,,,2.4,,,,,,,6.914,,,58.54,17.8,,1.1,106,,,,,0.56,,,,,,
Acacia polyacantha,Acaciapolyacantha,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,
Acacia reficiens,Acaciareficiens,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,
Acacia robusta,Acaciarobusta,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,
Acacia salicina,Acaciasalicina,Groot,,,,,,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,,,,,,
Acacia saligna,Acaciasaligna,Groot,,,,,,,,724.22,,,,,,,,,,,,5.586043499,,,,77.7,,,9.3,,,,,2.658571429,,,,,,
Acacia seyal,Acaciaseyal,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,
Acacia shirleyi,Acaciashirleyi,Groot,,,,,,,,,,,,,,,,,,,,0.379,,,,,,,,,,,,,,,,,,
Acacia sieberiana,Acaciasieberiana,Groot,,,,,,,,,,,,,,,,,,,,1.902,,,,,,,,,,,,,,,3.6,,,
Acacia tetragonaphylla,Acaciatetragonaphylla,Groot,,,,,,,,733.64,,,,,,,,,,,,0.597041831,,,,68.78,,,,,,,,,,,,,,
Acacia tetragonophylla,Acaciatetragonophylla,Groot,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,
Acacia tortilis,Acaciatortilis,Groot,,,,,,,,,,,,,,,,,,,,2.918,,,,,,,,,,,,,,,28.5,,,
Acacia tortillis,Acaciatortillis,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,
Acaena magellanica,Acaenamagellanica,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,0.128424688,,,,,,
Acaena novae-zelandiae,Acaenanovae-zelandiae,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha fruticosa,Acalyphafruticosa,Groot,,,,,,,,,,,,,,,,,,,,,,,30.89,,,,,,,,,,,,,,,
Acalypha indica,Acalyphaindica,Groot,,,,,,,,,,,,,,,,,,,,,,,40.53,,,,,,,,,,,,,,,
Acalypha lanceolata,Acalyphalanceolata,Groot,,,,,,,,,,,,,,,,,,,,,,,57.47,,,,,,,,,,,,,,,
Acalypha virginica,Acalyphavirginica,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,
Acalypha wilkesiana,Acalyphawilkesiana,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Acamptopappus shockleyi,Acamptopappusshockleyi,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,
Acamptopappus sphaerocephalus,Acamptopappussphaerocephalus,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Acanthococos ,Acanthococos,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,
Acanthophyllum borsczowi,Acanthophyllumborsczowi,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Acanthophyllum korolkowi,Acanthophyllumkorolkowi,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Acanthophyllum krascheninnikovii,Acanthophyllumkrascheninnikovii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Acanthophyllum paniculatum,Acanthophyllumpaniculatum,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Acanthosicyos horrida,Acanthosicyoshorrida,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,
Acanthosicyos horridus,Acanthosicyoshorridus,Groot,,,,,,,,,,,,,,,,,,,,,,,,16.32,11.3728223,1.435,,,,,,,,,,,,
Acanthyllis tragacanthoides,Acanthyllistragacanthoides,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,
Acer ,Acer,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,351.4640659,,,,,,,,,,,
Acer barbinerve,Acerbarbinerve,Groot,,,,0.2523,,,,505.769352,23.22415172,,,,,,,,,,,,,,,21.777732,,,,,,0.152828829,,,,,,,143.6789729,
Acer buergerianum,Acerbuergerianum,Groot,,,,,,,,,,,,,,,,,,,,0.36,,,100,45.93,,,,,,,,,,,,,,
Acer campbellii,Acercampbellii,Groot,,,,0.18975,,,,588.3183837,50.63731202,,,,,,,,,,,,,,,11.635052,,,,,,0.455,,,,,,,79.07241758,
Acer campestre,Acercampestre,Groot,,,,7.018728,,8.5,2.41,,27.11,,,,,,620.925,,365.5670233,,,0.093980999,,,162,12.54,,,,1531.25,0.539112513,0.56,,,,,,810.9,86.92837289,
Acer cappadocicum,Acercappadocicum,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,621,,,,,0.091728213,,,,,,
Acer caudatum,Acercaudatum,Groot,,,,0.2359,,,,434.9163733,19.88677929,,,,,,,,,,,,,,,21.870897,,,,,,0.26,,,,,,,87.39493519,
Acer cinnamomifolium,Acercinnamomifolium,Groot,,,,1.16,,,,403.4,29.02158273,,,,,,,,,,,,,,,13.9,,,,,,0.57,,,,,,,373,
Acer davidii,Acerdavidii,Groot,,,,4.67932398,,,18.75,537.7803427,39.58749698,,284.9345946,,,,,,,,,,,,100,89.427252,,,,1460.830695,2.231340592,2.127218291,,,,,,,297.7677614,
Acer fabri,Acerfabri,Groot,,,,1.15148,,,1.65,917.96,53.1312427,,86.94,,,,,,,,,,,,65,35.62,,,,119.62,0.207379928,1.69,,,4.36,3827.6,,,825.72,
Acer ginnala,Acerginnala,Groot,,,,4.401461212,,,,,,,244.0941622,,,,,,,,,,,,66,,,,,2186.666858,2.597727462,,,,,,,,282.0228898,
Acer glabra,Acerglabra,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.7869343,
Acer glabrum,Acerglabrum,Groot,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,
Acer laetum,Acerlaetum,Groot,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
Acer macrophyllum,Acermacrophyllum,Groot,,,,,,,,458,,,,,,,,,,0.242,,,,,,15,,,,,,,,,,,,,,
Acer mono,Acermono,Groot,,,,31.94919985,,,,895,36.9,14.4,,,3,,,,,,,,1.3,,,13,,3.9,,,,,,,,,,,3028.211752,
Acer negundo,Acernegundo,Groot,,,,12.07282371,,3.18,5.4,3370.518398,366.4925348,76.19522859,,,47.53022085,0.983244956,252,190,695.3746205,,,,25.31992005,2.695720135,399.5175752,196.3491177,,15.28962352,,,,6.181340444,,,,,5.6388,,733.8182515,234.1039054
Acer pensylvanicum,Acerpensylvanicum,Groot,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,
Acer pictum,Acerpictum,Groot,,,,0.8298,,,,1506.417727,75.94798177,,,,,,,,,,,,,,,66.30564524,,,,,,0.702999726,,,,,,,228.2095318,
Acer platanoides,Acerplatanoides,Groot,,2.975321033,,15.40260218,,8.279034871,2.97,866.82,213.4675647,7.6,,0.266,3,17.26188,2260.8975,591.705,357.8,3.71,,3.076513756,1.6,0.7,322.6,110.4901777,,1.1,265.9795196,1004.24,0.449737624,7.95269296,368.6,,,,1.925,4321.283796,343.7346949,51.03338431
Acer pseudoplatanus,Acerpseudoplatanus,Groot,,4.628500282,,11.63978897,,10.59220116,2.69,3206.1,407.7224962,33.7,,,1.6,20.7108,2224.3725,902.1675,1309.3,0.23,,2.038370387,14.5,0.5,316.4,181.1135602,,9.2,,1922.11,1.28963066,6.664408919,305.5,,,,4.1375,3668.117528,457.4967192,
Acer pseudosieboldianum,Acerpseudosieboldianum,Groot,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,
Acer pubescens,Acerpubescens,Groot,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,
Acer rubrum,Acerrubrum,Groot,,,,102.4643773,,,,3952.707947,341.724,72.22402807,,,39.39152178,,293,259,,0.295,,10.08,11.36075997,2.055174677,34.60469133,385.1603961,,10.30385175,,,,37.24456491,,,,,3.5,74963.09108,4877.092181,128.3849996
Acer saccharinum,Acersaccharinum,Groot,,,,,,,,1308,320.3995586,,,,,,,,837,,,0.93,,,70,44,,,,,,,825,,,,3.3528,,,
Acer saccharum,Acersaccharum,Groot,164.9026786,11.90508377,,149.4980598,,2.65,10.2,9806.488882,1131.702912,134.0371004,,0.289,68.46511196,0.979167067,359,324,1291,2.371,1.325947589,47.42263667,23.48211812,1.373831452,472.548661,2598.900312,2.311111111,22.29325157,2684,240,0.065551235,49.36401812,,5.545440622,,,2.5,121710.6665,8635.410791,1072.120267
Acer semenovii,Acersemenovii,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,
Acer spicatum,Acerspicatum,Groot,,,,,,,,,,,,,,,,,,,,,,,100,8.2,8.2,1,,,,,,,,,,,,
Acer tataricum,Acertataricum,Groot,,,,0.233133333,,,,578.6514087,26.11478058,,,,,,,,,,,,,,76,22.157767,,,,,,0.146218996,,,,,,,172.4784783,
Acer tegmentosum,Acertegmentosum,Groot,,,,2.484356145,,,,589.717829,52.94383652,6.8,,,4.6,,,,,,,,2,,,43.68377033,,1.9,,,,0.145770899,,,,,,,317.312609,
Acer triflorum,Acertriflorum,Groot,,,,0.2341,,,,495.460594,17.18797978,,,,,,,,,,,,,,,29.07036133,,,,,,0.227082895,,,,,,,110.6332214,
Acer truncatum,Acertruncatum,Groot,,,,2.140018033,,,14.75,,,,,,,,,,,,,,,,,74.7,,,,,,1.436706464,,,,,,,187.807917,
Acer turkestanicum,Acerturkestanicum,Groot,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,
Acer ukurunduense,Acerukurunduense,Groot,,,,3.294612514,,,,,,,224.7185978,,,,,,,,,,,,,,,,,1079.499677,2.29787906,,,,,,,,237.0792579,
Achillea atrata,Achilleaatrata,Groot,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea clavennae,Achilleaclavennae,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea crithmifolia,Achilleacrithmifolia,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea erba-rotta,Achilleaerba-rotta,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea lanulosa,Achillealanulosa,Groot,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,1.07,,,
Achillea macrocephala,Achilleamacrocephala,Groot,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
Achillea macrophylla,Achilleamacrophylla,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea millefolium,Achilleamillefolium,Groot,,,14.3,24.13584534,122.3966476,16.9188319,,31845.21506,225.38651,111.6382975,,19.85494554,345.0344878,55.15424054,241,,,11.95306791,0.004949157,63.29652605,80.92873932,,989,1110.879039,24.54264608,55.58642275,,528.4206667,0.374091603,18.74129613,,,,,,11165.80267,11205.23504,317.0110022
Achillea nana,Achilleanana,Groot,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea nobilis,Achilleanobilis,Groot,,,9.9,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
Achillea oxyloba,Achilleaoxyloba,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea pannonica,Achilleapannonica,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea ptarmica,Achilleaptarmica,Groot,,,13,,,,,1124.4076,,,,0.640142701,,,,,,,,4.607017327,,,30,250.31759,,,,,,,,,,,,,,253.405053
Achillea salicifolia,Achilleasalicifolia,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea setacea,Achilleasetacea,Groot,,,13,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,
Achillea subalpina,Achilleasubalpina,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,
Achillea tomentosa,Achilleatomentosa,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,Achnatherumhymenoides,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,,,,,,12.01,
Achnatherum lettermanii,Achnatherumlettermanii,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,
Achnatherum sibiricum,Achnatherumsibiricum,Groot,,,,0.49545,,,,,,,,,,,,,,,,,,,7.77,,,,,,,,,,,,,,329.23,
Achyranthes aspera,Achyranthesaspera,Groot,,,,,,,,,,,,,,,,,,,,,,,11.76,,,,,,,,,,,,,,,
Aciphylla aurea,Aciphyllaaurea,Groot,,,,,,,,,,,,,,,,,,,,0.311360255,,,,13.21077367,,,,,,,,,,,,,170.6901091,
Ackama rosifolia,Ackamarosifolia,Groot,,,,4.6883,,21.30023795,,,,,,,,,,,,,,,,,,14.9,,,,,,2.595135737,,,,,,,675.8517355,
Acmena ingens,Acmenaingens,Groot,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,
Acomastylis rossii,Acomastylisrossii,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,0.2,,,,,,
Aconitum anthora,Aconitumanthora,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum confertiflorum,Aconitumconfertiflorum,Groot,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
Aconitum degenii,Aconitumdegenii,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum nasutum,Aconitumnasutum,Groot,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,
Aconitum plicatum,Aconitumplicatum,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum septentrionale,Aconitumseptentrionale,Groot,,,,,,,,,,,,,,,,,,,,,,,530,,,,,,,,,,,,,,,
Aconitum variegatum,Aconitumvariegatum,Groot,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorus calamus,Acoruscalamus,Groot,,,13,,,,,,,,,0.11,,,,,,,,0.97,,,,,,,,,,0.08,,,,,,,,
Acosmium cardenasii,Acosmiumcardenasii,Groot,174.0527424,1.020811478,,,,,,,,,,,,,,,,,,11.28913508,,,,,,,,,,,,,,,,,,
Acroclinium roseum,Acrocliniumroseum,Groot,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,
Acronychia pedunculata,Acronychiapedunculata,Groot,,,,3.035723014,,,15.155,493.34,24.48337469,,173.88,,,,,,,,,,,,58,103.55,,,,131.38,0.107432798,2.136,,,4.13,3879.7,,,361.807,
Acroptilon repens,Acroptilonrepens,Groot,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
Actaea cimicifuga,Actaeacimicifuga,Groot,,,,0.5341,,,,1060.653932,62.37357544,,,,,,,,,,,,,,,34.52636467,,,,,,0.4752008,,,,,,,234.2261235,
Actaea spicata,Actaeaspicata,Groot,,,3,,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,,,,,,
Actinidia kolomikta,Actinidiakolomikta,Groot,,,,0.23,,,,451.5981863,18.13607045,,,,,,,,,,,,,,,24.905621,,,,,,0.1078125,,,,,,,224.5237681,
Adansonia digitata,Adansoniadigitata,Groot,,,,1.4066,,,,878.9000194,,,,,,,,,,,,,,,,27.54406453,,,,,,0.949513382,,,,,1.8,,6.806549376,
Adenanthera ,Adenanthera,Groot,194.4571429,0.296753186,,,,,,,,,,,,,,,,,,6.8104687,,,,,,,,,,,,,,,,,,
Adenium somalense,Adeniumsomalense,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,
Adenocaulon himalaicum,Adenocaulonhimalaicum,Groot,,,,0.1734,,,,465.4183407,25.26399496,,,,,,,,,,,,,,,18.42205767,,,,,,0.221875,,,,,,,192.9116901,
