"","X10...potato.predict...potato.data.mean_potat.x.....1"
"164",0.232737050342338
"165",-0.370965011555244
"167",2.08032900628365
"168",0.406642013390811
"169",0.0230445118521647
"170",-0.240214370026858
"171",0.677689169969419
"172",-0.0934002039085301
"173",-0.286667038583133
"174",0.162839405557099
"175",0.125002019913112
"176",0.0709010151517588
"177",1.11456783409922
"179",-0.477880211787498
"180",1.62645026744766
"181",0.868718861602301
"182",-0.00473580235625215
"183",0.166677497673091
"184",0.0330112244112293
"185",-0.0151393495702089
"187",-0.350255654954729
"188",-0.181958257284716
"189",3.18126916897595
"190",-0.0566012445474772
"191",-0.0904801379178708
"192",-0.0966433484813787
"193",-0.154569825024639
"195",-0.0905105523743698
"197",-0.139408804233817
"198",0.147076179014899
"199",-0.0892303447338288
"200",3.60740138753682
"201",1.32487722837648
"202",-0.120716894782033
"204",-0.16191196310244
"206",-0.177004328150749
"207",-0.0303465249328559
"210",-0.218271443674213
"211",0.841821825696091
"212",-0.262345184662693
"214",-0.183651495843381
"215",-0.351748268106804
"218",1.05414174830478
"219",-0.153250893011709
"221",-0.15311559598574
"222",-0.0430472420377922
"225",-0.261268465065254
"226",-0.402888365383858
"227",-0.222077009297198
"228",-0.207769738055493
"229",0.158881929369275
"230",-0.492753412449262
"231",-0.158093718756824
"232",-0.59624962153735
"233",0.57768031755661
"234",-0.14998971667746
"236",-0.232601458072472
"237",1.18529046211353
"238",-0.321346939444393
"239",-0.168760158855395
"240",-0.471888905287503
"241",-0.430891042795316
"242",1.27720091867186
"243",-0.293939732792447
"244",0.120384901247581
"245",-0.160997339224247
"246",0.191108857324425
"248",-0.307703235491589
"250",0.272328780940083
"251",-0.223433345591523
"252",-0.0514374201324861
"253",0.0108025343455334
"254",-0.0761499247625189
"255",1.72285352173145
"256",-0.147803326407614
"257",-0.0995795173696262
"258",0.245579784937157
"259",-0.243324606839983
"260",0.0250244892181291
"261",-0.164136938436201
"262",0.0267060618942507
"263",0.0959049242747105
"265",-0.190152736828529
"266",-0.0193468145243447
"267",-0.235080409380143
"268",0.0748464584807147
"270",-0.144882563785401
"271",0.570254733427865
"272",2.05412103070375
"273",-0.0167793463228846
"274",-0.21498250188763
"276",-0.39706266667135
"277",-0.347685961691343
"279",0.523061066016495
"280",-0.317955784148863
"281",-0.192558260724043
"282",-0.172240032970929
"284",-0.266032257863445
"285",-0.110598532298983
"287",-0.215020412981448
"289",-0.10983833707231
"290",-0.105952854092133
"291",0.00840646741326911
"292",0.566886143520323
"295",0.0797715080541486
"296",1.26760452626641
"299",-0.381738176460595
"300",-0.309724291620415
"301",0.64582335308681
"302",-0.096952165793766
"304",0.489316369078635
"305",-0.419637022758763
"306",-0.221781451536428
"310",-0.0906490949224765
"311",-0.184955248771559
"312",0.249519521256042
