"","mean_sorgh","sorghum_Fertilizer","GDP","Pesticide","Evapotranspiraton"
"2602",0.450864688842665,2.05398990294739,4.14310945988546,4.86861505347097,2.60979710381262
"2640",0.129472242925607,1.70962645368738,4.33107202186358,5.36316241230006,2.41259493111848
"2666",0.0263289374961059,1.25358578009486,3.33487778544419,5.32502074550366,2.30627487510935
"2688",0.296404874452718,1.27527447158239,2.2375688701982,3.59228781595213,3.02561304043865
"2728",0.24247365493432,1.31690545242755,3.33487778544419,5.32502074550366,2.58717197086732
"2760",0.311753850886908,1.27214582171871,3.33487778544419,5.32502074550366,2.30263391981378
"2903",0.232512100987077,1.79734378606647,2.65874573536115,5.50520154772776,2.68426172292891
"2917",0.539857847959272,0.813212961300737,3.17598701587034,4.50851625226694,2.17397253281796
"2990",0.278753591581211,1.29568169724454,3.33487778544419,5.32502074550366,2.33859592357683
"3005",0.681817719089311,2.00615435901317,2.99627519748262,6.95136909386879,2.58436515229864
"3068",0.406007626668619,1.4291899146195,2.2375688701982,3.59228781595213,2.9727996987148
"3079",0.20485496104922,1.66235356901371,4.5525312153497,6.47257508985315,2.74281936219833
"3092",0.430296355604301,0.880243038952457,3.80950247825765,5.78923793550226,2.37478499378717
"3297",0.292884990664922,0.692705092454513,2.58899959049944,1.7481880270062,2.81630759943194
"3302",0.681817719089311,2.00749155486489,2.99627519748262,6.95136909386879,2.55995447854086
"3321",0.101760235549712,1.51615911616375,4.33107202186358,5.36316241230006,2.80748090700431
"3335",0.342479457955692,1.56376472042429,3.49225458140176,5.25389021628127,2.19033169817029
"3409",0.374979934912305,1.95365871164811,2.42066523187312,2.79028516403324,2.89290675302204
"3512",0.235443321139364,1.88716232049881,3.58078246723073,5.98977763964001,2.8775268346236
"3560",0.276277934375952,1.00245084860267,2.61997980583305,4.35812528527665,2.9353460128824
"3592",0.507557914708249,2.13027727243766,3.39165480373368,5.6784582838221,2.96248298565721
"3679",0.363835149342332,0.568761184408562,2.58899959049944,1.7481880270062,2.80081327210224
"3705",0.63743413125675,1.18495209560284,2.26752371638546,3.56726169235387,2.21674633360997
"3820",0.180963523678125,1.88357849146406,2.65874573536115,5.50520154772776,2.68482741522064
"3854",0.173971874116647,0.860680499881828,2.50009919191572,2.72916478969277,2.7979458124825
"3873",0.00628772369636311,1.27931225117713,3.33487778544419,5.32502074550366,2.61479179195642
"3933",0.056237656309407,1.19528372596997,2.8855364858193,4.83241310188512,2.21029176025372
"3995",0.12488772626866,0.681945287198036,2.58561862606792,4.06785166051235,2.77918508739853
"4035",0.213113417572084,1.62612017806278,4.33107202186358,5.36316241230006,2.88318430077724
"4073",0.713260038477528,2.14433279109299,2.99627519748262,6.95136909386879,2.7315323596432
"4276",0.176561587547796,1.74315421959358,4.33107202186358,5.36316241230006,2.53179813387537
"4364",0.629164093702744,2.1289670308748,2.99627519748262,6.95136909386879,1.72263392253381
"4372",0.373119742576302,1.42319694061392,2.50019529450904,1.17609125905568,2.93436208156801
"4544",0.72752618357664,1.01697195486896,3.80950247825765,5.78923793550226,2.88254730508979
"4584",0.0481821370940515,1.17473837543882,2.09436629833613,3.63648789635337,2.61944813787393
"4603",0.403719501945699,1.82674072643468,4.33107202186358,5.36316241230006,2.2247143045304
"4680",0.668987231807206,2.14340768211824,4.5525312153497,6.47257508985315,2.84985533226505
"4794",0.676047277798294,2.17913344112644,2.99627519748262,6.95136909386879,2.75592056847522
"4820",0.258445928827235,1.88441615771488,2.65874573536115,5.50520154772776,2.93194579638239
"4845",0.0713843505764443,0.975801099154496,3.53572187297719,2.07918124604762,2.56959626764564
"4862",0.678942082306004,2.00223460547462,2.99627519748262,6.95136909386879,2.56597761556084
"2723",0.00302324418382614,0.710359167641474,3.37144285683921,3.81484666860446,1.85473101721394
"2808",0.00609679363069468,0.770498856019235,3.53572187297719,2.07918124604762,2.50104556186027
"2824",0.261431774116765,2.03548851646525,3.58078246723073,5.98977763964001,2.77163891711391
"2915",0.125652060789065,1.03389413529888,2.49414067410043,2.56348108539441,2.33233744945303
"3108",0.406688950541039,1.94052221977326,4.5525312153497,6.47257508985315,2.47449307500685
"3710",0.714366603793245,2.07152130738458,4.5525312153497,6.47257508985315,2.19426451602552
"4115",0.233234137069555,1.25567543798638,3.33487778544419,5.32502074550366,2.32170196950074
"4272",0.0499485829471968,1.49075836704052,3.58078246723073,5.98977763964001,2.84373096511209
"4379",0.084178938031743,2.06752695241541,3.58078246723073,5.98977763964001,3.01810522392698
"4656",0.163856805517422,1.74902351727613,2.9846083140867,3.30770992340481,2.98716108154305
"4827",0.0109199794238431,0.397602407223425,3.17598701587034,4.50851625226694,1.99166900737995
"4916",0.538623139533681,1.99421181349534,3.58078246723073,5.98977763964001,2.96379254791209
"4954",0.159754949816534,0.609804533865422,2.58561862606792,4.06785166051235,2.79762065112553
"4974",0.311753850886908,1.34932397817085,3.33487778544419,5.32502074550366,2.58303999500604
"4983",0.14102962565814,0.528950064633269,2.50009919191572,2.72916478969277,2.804595985529
"4998",0.152126128040651,0.333236593199191,2.49680515092031,2.94694327069783,2.82387833926651
"5036",0.307569799027059,0.113861589676782,4.16823871543241,2.29446622616159,2.97999427631611
"5137",0.654498364915898,2.024918982026,3.82053378768463,5.19781516944518,2.90316598187692
"5184",0.124637035709284,2.12788939184288,2.99627519748262,6.95136909386879,1.89170467623918
"5236",0.627720214689926,2.20832917303837,2.99627519748262,6.95136909386879,2.68573278398455
"5250",0.605008382811751,1.96581297944291,4.5525312153497,6.47257508985315,2.75702383386835
"5278",0.574031267727719,0.712356645307251,3.17598701587034,4.50851625226694,2.1523800870476
