"","X10...sorgh.predict...sorgh.data.mean_sorgh....1."
"331",0.0977731782102352
"332",0.0937707871545444
"333",0.100006107757797
"334",0.0730704209175858
"335",0.0858102359231354
"336",0.107861820746636
"337",0.0904013638434625
"338",0.0921335362815366
"339",0.103255726567648
"340",0.113914748308558
"341",0.0900882311169505
"342",0.0929417169306236
"343",0.133424927863708
"344",0.106944014859458
"345",0.0807995867198972
"346",0.0875693657994433
"347",0.104369156212082
"348",0.113167507894069
"349",0.0895759973164407
"350",0.107411529858708
"351",0.0766886148389147
"352",0.085687570225065
"353",0.0921116866468216
"354",0.103752810634648
"355",0.15237749171692
"356",0.0778034228180786
"357",0.1649335898069
"358",0.11719473785173
"359",0.0779139105626948
"360",0.096070435000767
"361",0.115279534121331
"362",0.110090865844834
"363",0.113532257589369
"364",0.0817845507632754
"365",0.0798824455038443
"366",0.0985411152331386
"367",0.0844139962033754
"368",0.0740839867318894
"369",0.0697872562554823
"370",0.10299935114796
"371",0.144343391135078
"373",0.0920460102936173
"374",0.105176562677694
"375",0.113072910883049
"376",0.0956698245453523
"378",0.10187852786355
"379",0.0818062839186553
"380",0.106924424819961
"382",0.0689465762481298
"383",0.0893025766543158
"384",0.108571734878865
"385",0.106985744014027
"386",0.124303268540577
"387",0.0877143278132129
"388",0.0964507369227072
"389",0.0963177076542588
"390",0.144473416600789
"391",0.136198503066255
"392",0.088554536371504
"393",0.103333159419924
"394",0.0846203903688774
"395",0.0939473580745403
"396",0.101038988320284
"398",0.108952744036155
"399",0.0811707384068749
"400",0.070513933409586
"401",0.101974878542573
"402",0.111514590413286
"403",0.0707578662952271
"404",0.0962867093171244
"405",0.101125248246767
"406",0.113982506551129
"407",0.101855183161995
"408",0.0980251480907152
"410",0.0892941124243162
"411",0.0883494515213556
"412",0.0917736257967477
"413",0.103153661332032
"414",0.103600359532899
"415",0.0739552415952382
"416",0.112447278095926
"417",0.11297356223437
"418",0.138671699032113
"419",0.123492450026938
"421",0.0942392844922046
"422",0.135096398605151
"424",0.116510169787956
"425",0.109338259048102
"427",0.153525499553209
"428",0.127096242566384
"429",0.109486222675179
"430",0.106864739242611
"431",0.0947141819440086
"432",0.172079270403153
"433",0.12431430281187
"434",0.0923855082565568
"435",0.0950064001641899
"436",0.083571865882751
"437",0.0881344211831995
"438",0.117489872920184
"439",0.101449559219586
"440",0.0906418923178618
"441",0.0919531212750294
"442",0.115481598466774
"443",0.0956493767782791
"444",0.0770362097739299
"445",0.0773520891433076
"446",0.075414308454228
"447",0.100100019119021
"448",0.102509922217887
"449",0.114143706983638
"450",0.0754561348239322
"451",0.136214738711697
"452",0.0855054994327888
"453",0.0916622162071239
"454",0.0998126350760367
"455",0.0902032459726792
"456",0.094528450777771
"457",0.10788266575169
"458",0.0629503343648229
"460",0.0782400823531831
"461",0.0647021882607508
"462",0.191452142316533
"463",0.0786495318891782
"464",0.0968732948106466
"465",0.127691996785794
"467",0.08358764285913
"468",0.0911065146468703
"469",0.0832915492338734
"470",0.0951312141769604
"472",0.120321508546684
"473",0.0898143157047344
"475",0.0706265496816537
"476",0.0913761302043381
"477",0.0912601254516105
"479",0.116613161384839
"480",0.108781965938636
"481",0.132440431995742
"482",0.123492110262534
"483",0.102726941094536
"484",0.108167075060835
"485",0.106396748102326
"486",0.109519762988909
"488",0.122149915294385
"489",0.100666545566487
"491",0.131016704190934
"492",0.120257664865462
"494",0.112311235933222
"495",0.111272148074078
"496",0.0975184908478441
"497",0.0906351335185517
"498",0.111415525895365
"499",0.101918313157152
"500",0.10812251763119
"501",0.168254279977506
"502",0.0742537497314722
"503",0.0877711090228292
"504",0.0803930691609312
"505",0.106875031382914
"506",0.153436473113441
"507",0.148698238475892
"508",0.0978865474551354
"509",0.0619084353456242
"510",0.0915618731902613
"512",0.102539082469205
"513",0.0903951147274334
"514",0.0882783271672456
"515",0.111462474329357
"517",0.0898916966374437
"518",0.099375190536004
"519",0.0827089969039242
"520",0.100604910063607
"521",0.106877199602091
"522",0.085627016442754
"523",0.116539681707138
"524",0.0972644965955821
"525",0.10563871930097
"526",0.1155583698973
"527",0.113942289307144
"528",0.122682380477109
"529",0.0725516014811084
"530",0.105819047201192
"531",0.080808456407864
"532",0.102940599745084
"533",0.072097892371126
"534",0.140868571077884
"535",0.0912771011764894
"536",0.114466641406738
"537",0.118869044662761
"538",0.102308750719139
"539",0.122606763458098
"540",0.078744254158196
"541",0.0879183989939112
"542",0.0638711021495927
"543",0.114203091301383
"544",0.0747805383150746
"545",0.087820983599076
"546",0.104351169151721
"548",0.0941029910212683
"550",0.068352835838494
"551",0.0698505690987595
"552",0.0792800465484993
"553",0.0787414228447347
"555",0.0971894958764344
"556",0.0911689235457271
"557",0.0888791843919844
"558",0.0820238508558799
"559",0.114567810090897
"560",0.116104421980473
"561",0.0768753127416674
"562",0.0855861202991194
"563",0.0730868194750783
"564",0.115576201165357
"565",0.111706579356381
"566",0.0974172853734497
"567",0.0858756614074203
"568",0.117868053579751
"569",0.100837054071233
"570",0.118678707905787
"571",0.0918071240524169
"572",0.118208334423669
"573",0.114446217623469
"574",0.0723536761456651
"575",0.111723659328548
"576",0.137239238868391
"577",0.112852540470807
"578",0.0853857966414305
"579",0.0980396952077066
"580",0.107731140927542
"581",0.0932382462184198
"582",0.0842952398100606
"583",0.0953679609516719
"584",0.0787065673933923
"585",0.0930932300430842
"586",0.100464518884119
"587",0.0917969133165543
"588",0.0953485111566677
"589",0.0841043969213778
"590",0.0973404117312802
"591",0.0875447125501588
"592",0.0953648905635335
"594",0.0771577482116449
"595",0.0958984923076429
"596",0.110398093213362
"597",0.0991782879999546
"598",0.0904589872688255
"599",0.0801895675354083
"600",0.094460632949484
"601",0.0892288542029775
