"","X10...groundnut.predict...groundnut.data.mean_groun.....1"
"265",-0.0115413302179593
"266",-0.0995003610116703
"267",-0.375998039753712
"268",0.0261331989284856
"269",0.158564431642823
"270",-0.156632660280411
"271",0.0215382290732375
"272",0.732528734694839
"273",0.234536107403067
"275",-0.0420401818472632
"276",-0.0537640622372992
"277",0.123443963677946
"278",0.151885721681199
"279",-0.0638136763063059
"280",-0.100350473228358
"282",0.0910082835173034
"284",0.0941150009531995
"286",0.262360984365176
"287",-0.0280574285177948
"288",0.00559193310605655
"289",-0.0334030978906478
"290",-0.00952669801512673
"291",0.232129248893754
"292",-0.067377378292601
"293",-0.228207269619301
"294",-0.38336451705913
"295",0.258656202066069
"296",0.0223940231664783
"297",-0.0977887141077045
"298",-0.00978019484576909
"299",-0.0181056595523708
"300",0.295716452768199
"301",-0.162399368478466
"302",-0.182321305274331
"303",-0.250100747918303
"305",-0.00958664295869371
"306",0.00230844471322622
"307",0.0269182502943683
"308",-0.00555899762660172
"309",0.0078061455279812
"310",0.528075301638174
"311",-0.11671755895555
"312",0.044638458179864
"313",0.169381841228677
"314",-0.131627905271514
"315",0.0466757339463151
"317",0.997842889611028
"318",-0.0948501295580884
"319",-0.105877871233923
"320",0.000826982038919288
"321",-0.103757932320169
"322",0.11425229039967
"323",0.00648918219814587
"325",0.0365403745013293
"326",-0.0992087322819771
"327",0.143925273152404
"328",-0.0640748746860403
"329",0.0670691139970803
"330",0.176081702553873
"331",0.0772675118003867
"332",0.0136455815251222
"333",0.230125133370625
"334",-0.0204516901986607
"335",-0.0187818442455019
"336",0.249904213128774
"337",-0.0321719534042201
"338",0.290298003420309
"339",0.170634312781746
"340",-0.0647856058028291
"341",0.00191321856024218
"342",0.129764788137779
"343",0.896229911411337
"344",-0.0130210702778659
"345",0.19356863696638
"346",-0.0567813355288102
"347",0.100310529435945
"348",0.0962280268975284
"349",-0.364035306231175
"350",-0.143672249732595
"351",-0.104435230459543
"352",-0.0429342674123138
"353",0.640932233302627
"354",-0.0392278940727905
"355",-0.0869277646368866
"356",-0.0298776841006599
"358",0.0880438359300069
"359",0.310569489285253
"361",0.0157063302452447
"362",-0.0823602331550585
"363",-0.362648782877921
"364",-0.607948722846427
"365",-0.1009039563848
"366",0.126992890104242
"367",0.275881636166815
"368",-0.0330489930550648
"369",-0.0407529530794178
"370",-0.0557990979171951
"371",0.05232045780168
"372",-0.0458799264191628
"373",0.0551319425182573
"374",0.694100378989138
"375",-0.125471686231555
"376",-0.0664509764227624
"377",0.108054235087178
"378",0.0301030697272264
"379",0.0761360895507028
"380",-0.150171479151197
"382",0.0195979188220607
"383",-0.0176144983195988
"384",0.0369634699581942
"385",-0.00549847687964311
"386",0.297368537921804
"387",-0.0278095703253071
"388",-0.0634022884988041
"389",-0.0676822786475185
"390",-0.0251489996526008
"391",0.513936646804683
"392",-0.340118804490641
"393",0.153800025906446
"394",0.0292079118946311
"395",0.000709033428655248
"396",0.229993682213537
"397",0.045807264073416
"398",0.104390812775535
"399",0.0198816489730547
"401",0.0434393070396903
"402",0.263797168121911
"403",0.268703512808364
"405",0.287616460168894
"406",-0.00736040905768087
"407",0.113859192517805
"408",0.00619619770306845
"409",-0.0386903439884525
"410",-0.12176823977393
"411",0.219712938158093
"412",-0.000404248845445876
"413",-0.048675139604281
"414",-0.114506363502779
"415",0.204716823347618
"417",-0.154894925306203
"418",0.256552077358574
"419",-0.16287497639155
"420",-0.42086049856959
"421",-0.00113413100251936
"422",0.067716888958167
"423",-0.18984483930559
"424",-0.0386834188363721
"425",0.117705071071286
"426",0.0118223835354896
"427",0.0446274725961249
"428",-0.0301493637830971
"429",0.00569674988067903
"430",0.0435507960014376
"431",-0.249606052027481
"432",-0.0609500401026751
"433",-0.208611689338221
"434",-0.0383967548098427
"435",0.646223802513314
"436",0.365513283055327
"437",0.237775032596018
"438",0.412410752203756
"439",0.234175441586972
"440",0.448460017825443
"441",0.110904314699998
"442",-0.0973373019508574
"443",0.071854477540914
"445",-0.0290767361710029
"446",-0.0840315401398781
"448",-0.438748732414117
"450",-0.14833105463491
"451",-0.00276033091012373
"452",0.0155663762421803
"453",0.0149361410449884
"454",0.0376290864794837
"455",0.055598762681222
"456",-0.275134145207549
"458",-0.0978570204201282
"460",0.130738796764988
"461",-0.0354560466539933
"464",0.368379123578664
"465",-0.0783202034748326
"466",0.0954368427663776
"468",0.102949815701631
"469",-0.00293878437221706
"470",0.247617989843064
"471",0.404726995891679
"472",-0.0614439513954486
"473",0.214483711975149
"474",0.111892273366824
"475",-0.0221194162715721
"476",-0.0435268783109195
"477",0.0576748532831453
"478",0.597611475261941
"479",-0.0168302142936504
"480",-0.0942223745439528
"481",0.044244128959817
"482",-0.285321677521148
"483",-0.0732617896421079
"484",-0.028691728402905
"486",0.0139407580248425
"487",0.0782813278150278
"489",-0.0170861557263875
"490",0.124497567375085
"491",0.0104989441374794
"492",0.0167413037790176
"493",-0.109739943978672
"494",-0.104064585773196
"495",-0.0687812020600971
"496",-0.0717216991263241
"497",0.12448702881461
"498",-0.0867913564493016
"499",0.000655041274285839
"500",0.212647940031565
"502",0.0150355456069899
"503",-0.183388554047698
"504",0.0103324215409621
"505",-0.106157463722588
"506",0.0403042978367854
"507",-0.00364342972538223
"510",-0.0976105127112823
"511",-0.000864461725024412
"512",-0.00644570618000595
"513",-0.0201507228721882
"514",-0.0795034381735007
"515",-0.0367641144876323
"516",-0.109598525960226
"517",0.039572943899493
"518",-0.24010228184281
"519",0.0683982859368084
"520",0.0613047687668704
"521",-0.110484677533931
"522",-0.293013069964482
"523",-0.231226921573774
"524",-0.123079442443304
"525",-0.0544226050615563
"526",0.21085331810155
"527",-0.108475202769804
"528",-0.0352985349306801
"529",-0.128280153536381
"530",0.0897118234672345
"531",0.0919865435751426
"532",-0.078027715468018
"533",-0.330737100999763
"534",-0.274825912729244
"535",0.0374428362348405
"536",-0.120154128144538
