"","mean_wheat","wheat_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"5152",0.20901206724216,1.25566990920627,2.71731170571189,2.91009054559407,1.91318288541906
"5184",0.174727148897186,2.32689654524396,2.99627669770714,6.95136909386879,1.89171330085297
"5236",0.6367713418658,2.22966005590166,2.99627669770714,6.95136909386879,2.68573107828803
"5250",0.525945120067605,2.15264486907414,4.55253120853509,6.47257508985315,2.75702075805766
"5278",0.33994178994041,0.888485903543199,3.17598650936112,4.50851625226694,2.15238845943554
"5286",0.554219264198456,2.08778800172075,4.14310934368233,4.86861505347097,2.71985719460192
"5316",0.0184230822717771,1.22364230105444,3.0270994547094,4.35326208591632,3.02869468010505
"5330",0.302946568290579,1.70386917164422,3.49225402986176,5.25389021628127,2.2726909508111
"5354",0.0675012298932076,0.657638025003911,2.26709515600535,0,2.84769748914287
"5469",0.337095124574845,1.78025072198483,4.37324138608759,5.43420630841758,2.69158137376215
"5477",0.227886704099716,0.700798284593697,2.71731170571189,2.91009054559407,1.92386362694597
"5511",0.27781815227044,1.97937252477381,3.5953428256262,5.33782451404581,2.58106743737344
"5542",0.252440945311099,0.661946687949662,2.26709515600535,0,2.89934489880492
"5558",0.239835150878822,0.781391236386635,2.7855635422284,2.44870631990508,2.62080196334489
"5680",0.253649118693111,1.37406317445827,2.99627669770714,6.95136909386879,2.4815705841947
"5731",0.274106687977402,1.84405230440472,4.09994418754491,5.03344788228798,2.60944194499631
"5785",0.363969289561761,1.34699753256525,3.33487843404016,5.32502074550366,2.15110341514852
"5818",0.0988107707540368,1.72192341963693,4.37324138608759,5.43420630841758,2.70970900163977
"6069",0.597501303098827,1.95192343026601,3.82053390533369,5.19781516944518,2.43261620202344
"6130",0.68166749516991,2.36461396292605,3.80950249718057,5.78923793550226,2.24830905176763
"6229",0.687028267900271,2.20686982764632,2.99627669770714,6.95136909386879,2.67537184573491
"6328",0.269244864674902,0.912862308258464,2.36249398434491,2.39269695325967,2.55998851400838
"6382",0.226776345761686,1.64131678521051,3.80950249718057,5.78923793550226,2.61598447638445
"6585",0.344440871859158,2.00962077200005,3.80950249718057,5.78923793550226,3.00026489051585
"6673",0.00952346790679028,0.989274909416164,3.80950249718057,5.78923793550226,2.16179566780541
