"","mean_groun","groundnut_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"4869",0.403278978680565,2.14031947021897,3.5953428256262,5.33782451404581,2.47781006454463
"2614",0.463892984060918,1.60478672462034,2.91077933629609,4.0484418035504,3.00929151192686
"2808",0.0329918605333829,0.508235507573122,3.53572152828684,2.07918124604762,2.50104295216717
"2824",0.382754336581207,1.7805211465436,3.58078294659351,5.98977763964001,2.77163559319476
"2915",0.0157391659412773,0.486486578284841,2.49413466181068,2.56348108539441,2.33234226010403
"3108",0.182537286500188,1.56112024021064,4.55253120853509,6.47257508985315,2.47449810317543
"3344",0.174842883014312,1.40927545678595,2.98460650671991,3.30770992340481,2.98746010059825
"3928",0.179839744369747,1.65051436923079,3.58078294659351,5.98977763964001,2.95216950080953
"4272",0.269954930717737,1.85596058668959,3.58078294659351,5.98977763964001,2.84372948323057
"4379",0.0958471034347105,1.30876175289425,3.58078294659351,5.98977763964001,3.0181058191929
"4656",0.28143070131124,1.42594135527673,2.98460650671991,3.30770992340481,2.98716198683856
"4804",0.0606120031970869,1.46328592580443,2.98460650671991,3.30770992340481,2.9970507657136
"4827",0.0055538666869362,0.397602407223425,3.17598650936112,4.50851625226694,1.9916742776731
"4916",0.332779976787824,1.63637596935887,3.58078294659351,5.98977763964001,2.96379344707979
"4954",0.0847534203682449,1.062369168031,2.58561693011275,4.06785166051235,2.797617849806
"4983",0.124726978374118,0.452370809427706,2.50009459561958,2.72916478969277,2.80459371533034
"4998",0.197627925069115,0.886988580381965,2.49680172397732,2.94694327069783,2.82387771878954
"5137",0.27729172871207,1.52861704847409,3.82053390533369,5.19781516944518,2.90316753263122
"5184",0.0656235008317025,2.06976445890332,2.99627669770714,6.95136909386879,1.89171330085297
"5236",0.501466345336816,2.21673807080992,2.99627669770714,6.95136909386879,2.68573107828803
"5278",0.378397898404153,0.593016942984559,3.17598650936112,4.50851625226694,2.15238845943554
"5286",0.205324680696488,1.6340824021666,4.14310934368233,4.86861505347097,2.71985719460192
"5316",0.547746749579726,1.64119481209729,3.0270994547094,4.35326208591632,3.02869468010505
"5354",0.113858915915651,0.835094609171284,2.26709515600535,0,2.84769748914287
"5521",0.596316346214984,2.30098935465632,4.55253120853509,6.47257508985315,2.95129848052563
"5542",0.192526556090596,1.17521475641818,2.26709515600535,0,2.89934489880492
"5558",0.0708305130920566,0.65995871598867,2.7855635422284,2.44870631990508,2.62080196334489
"5680",0.0436728568909147,1.62559721699192,2.99627669770714,6.95136909386879,2.4815705841947
"5731",0.512697408984112,1.79346922781229,4.09994418754491,5.03344788228798,2.60944194499631
"5941",0.245046834894111,1.62788455689011,3.58078294659351,5.98977763964001,2.86831024253563
"5972",0.463892984060918,1.35703609670013,2.91077933629609,4.0484418035504,3.00576380854055
"5998",0.284305373628251,1.15250901970217,2.79622643974621,2.8668778143375,3.08723195076357
"6014",0.463892984060918,1.65820580319562,2.91077933629609,4.0484418035504,2.98026586122942
"6036",0.0283959652671032,1.80942815809034,2.65874601931954,5.50520154772776,2.81976713561194
"6069",0.22158011786723,1.28187123026223,3.82053390533369,5.19781516944518,2.43261620202344
"6229",0.530348765656578,2.05364128859723,2.99627669770714,6.95136909386879,2.67537184573491
"6273",0.302172528018183,1.84100975598571,3.58078294659351,5.98977763964001,2.80473760766868
