Fishnet_ID,MaizeError
14339,0.441365492
14367,-0.271438699
14373,-0.031651039
14381,0.094064884
14389,0.171216981
14397,0.146352635
14445,-0.184619401
14479,0.449197767
14623,0.587126737
14624,0.215769895
14704,-0.049121639
14762,-0.225900253
14824,-0.17597023
14882,-0.002505843
14967,-0.17677631
15016,0.183534217
15035,-0.200600967
15083,6.02E-05
15147,-0.018564885
15260,-0.036264779
15292,0.12429582
15329,0.053283151
15346,-0.023574061
15414,-0.089576557
15448,-0.026352839
15457,0.31027328
15477,0.146893584
15493,0.022066236
15511,-0.108075222
15623,-0.272696895
15681,-0.006315132
15694,0.031014981
15711,0.07076297
15793,0.044262131
15857,0.155081221
15917,-0.034270565
15949,-0.198244791
16044,-0.152385223
16052,-0.138643054
16072,0.158476291
16084,0.034272916
16152,0.861039525
16181,-0.328298202
16290,0.228125004
16297,-0.18295038
16335,0.062516527
16370,0.050295788
16426,0.341961889
16452,0.145581852
16515,-0.130613335
16529,-0.423041629
16530,-0.241367513
16571,0.052412089
16587,-0.10740863
16600,-0.241650296
16682,-0.166110318
16685,0.116308099
16688,-0.398458547
16724,0.11282266
16770,0.108083776
16894,0.181761256
16915,1.599190932
16953,-0.185300357
16970,0.01769765
17016,0.191433566
17023,-0.210419746
17087,-0.181165
17157,-0.374945028
17204,0.193315141
17281,-0.241333069
17282,-0.090681208
17311,-0.162918991
17325,0.403421198
17363,-0.07104136
17371,-0.217973605
17400,-0.128505222
17516,-0.154772622
17519,-0.022392136
17520,-0.130678161
17588,0.382607325
17598,-0.074310907
17641,-0.444028324
17670,-0.063288487
17728,0.059401504
17755,-0.050728247
17783,-0.251155161
17795,0.064113101
17813,0.005708175
17876,-0.220426803
17883,0.102969102
18077,0.056281595
18097,-0.153960755
18102,0.066337281
18116,-0.268155084
18154,0.150572269
18196,-0.313144471
18303,0.033032886
18313,0.145003053
18391,-0.095488469
18508,0.036226429
18584,-0.057634014
18599,0.03873101
18679,-0.033519296
18705,0.531401733
18707,-0.029891156
18721,-0.270877059
18730,-0.097595539
18742,-0.054056272
18814,-0.129315868
18830,-0.043821143
18892,-0.018946316
18903,-0.284309311
18964,-0.00025286
18973,0.578462514
19001,0.227458311
19008,0.728998722
19029,1.083099187
19044,0.143332288
19099,0.066734513
19114,0.126924628
19156,0.286915001
19175,0.078804662
19220,-0.056575585
19282,0.133023148
19291,0.023108898
19311,-0.279806146
19317,-0.053222823
19321,0.186297638
