"","mean_rapes","rapeseed_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"1964",0.229880850740631,2.04940992873114,3.58078294659351,5.98977763964001,2.94267080631698
"2000",0.136940656520038,1.95319607356518,3.58078294659351,5.98977763964001,2.94147445898498
"2351",0.0616932700818705,2.01292643227851,3.58078294659351,5.98977763964001,2.915157906816
"2389",0.469896949160825,2.2154697178196,2.99627669770714,6.95136909386879,2.50447086249442
"2468",0.218797990501744,1.85511322285211,3.82053390533369,5.19781516944518,2.93381256145245
"2474",0.0831146728777301,0.921746589329844,2.09437779351545,3.63648789635337,2.55161697990997
"2592",0.213879815602136,1.29477857987055,3.33487843404016,5.32502074550366,2.66493843186716
"2628",0.156806434262059,1.67409950827493,4.37324138608759,5.43420630841758,2.54838941813292
"2640",0.182291003579025,1.46030637575806,4.33107201983724,5.36316241230006,2.41259553088046
"2666",0.0226639839881825,1.23318981256031,3.33487843404016,5.32502074550366,2.30627181017191
"2692",0.199221936969987,2.20771929071581,3.55219028830686,3.39724458101039,2.67525992437706
"2728",0.215084516608173,1.29933337611711,3.33487843404016,5.32502074550366,2.58716956309482
"2735",0.400773397974914,2.40540687778982,3.69928062050879,4.98465330797233,2.18763820895548
"2760",0.278753595467004,1.25262260623949,3.33487843404016,5.32502074550366,2.30262979882118
"2795",0.365963795886642,1.88433126056075,4.37324138608759,5.43420630841758,2.38396489061893
"2798",0.383628385110844,2.43693609974019,3.69928062050879,4.98465330797233,2.69899068451257
"2903",0.0622711482886145,1.70824153687557,2.65874601931954,5.50520154772776,2.68426546673157
"2917",0.222141943586913,0.823235513475938,3.17598650936112,4.50851625226694,2.17396629810017
"2952",0.523993087093021,2.45304927673482,4.41865905031594,5.36638186074997,2.6806951537781
"2990",0.248323640139582,1.2772105784815,3.33487843404016,5.32502074550366,2.33859876867732
"3005",0.476748078471184,2.21695365999344,2.99627669770714,6.95136909386879,2.58436488303439
"3079",0.11760844149895,1.96087144555786,4.55253120853509,6.47257508985315,2.74281861439962
"3280",0.576790956625576,2.48224266424866,4.4645225202218,5.3694440804306,2.69312736039549
"3302",0.337990521651361,2.21777713928919,2.99627669770714,6.95136909386879,2.55996003267527
"3512",0.409933132118576,2.04934705216734,3.58078294659351,5.98977763964001,2.8775273144218
"3560",0.183319558299949,2.21191963532481,2.61998209528875,4.35812528527665,2.93534529285453
"3693",0.398259369533902,2.45389928842372,3.69928062050879,4.98465330797233,2.63648491124556
"3705",0.216483570306084,1.97530759847395,2.26751551150824,3.56726169235387,2.21674696137492
"3820",0.128354972299324,1.46760439120315,2.65874601931954,5.50520154772776,2.68482933812569
"3873",0.00539503188670614,1.26011571931443,3.33487843404016,5.32502074550366,2.61479681272587
"3933",0.0253400060244643,1.97561471683606,2.88553797188383,4.83241310188512,2.21029622038618
"3985",0.636645674056137,2.41478946835311,4.41865905031594,5.36638186074997,2.69832066251296
"4063",0.178129275093506,1.95533830103439,4.37324138608759,5.43420630841758,2.55785078934732
"4073",0.410269544012348,2.25041920642693,2.99627669770714,6.95136909386879,2.73153120841035
"4276",0.0951720768390967,1.42063824569048,4.33107201983724,5.36316241230006,2.53180193267503
"4364",0.323087589214812,2.33477009925784,2.99627669770714,6.95136909386879,1.72261433812545
"4544",0.365487994625086,1.50195708883458,3.80950249718057,5.78923793550226,2.88254825371348
"4584",0.138820061641064,1.17530355547377,2.09437779351545,3.63648789635337,2.61945049731097
"4603",0.226048824954238,1.6977598476888,4.33107201983724,5.36316241230006,2.22471646163055
"4669",0.271241007375805,2.15268154354627,4.21124915324027,4.37781602917206,2.85697690154854
"4705",0.203873466872639,1.32987352804601,4.33107201983724,5.36316241230006,2.22583213918985
"4794",0.392190726013357,2.41465801673991,2.99627669770714,6.95136909386879,2.75592020568688
"4816",0.232468680182214,2.14265862462261,4.4240457227584,3.96189547366785,2.56117239668328
"4820",0.0733127920398518,1.80746192440521,2.65874601931954,5.50520154772776,2.931945957663
"4846",0.254527928471105,1.96826986167457,3.82053390533369,5.19781516944518,2.74778160908691
"4862",0.433866503355419,2.21651066861582,2.99627669770714,6.95136909386879,2.56597424475435
"4869",0.475953540590194,1.8618034018834,3.5953428256262,5.33782451404581,2.47781006454463
"2664",0.208652468717221,1.89157684940606,3.58078294659351,5.98977763964001,2.96908988051531
"2723",0.00324505481314709,1.2746636121401,3.37144277430214,3.81484666860446,1.8547577449504
"2824",0.409933132118576,2.00712348553734,3.58078294659351,5.98977763964001,2.77163559319476
"3438",0.369409151712752,2.04396403361845,3.58078294659351,5.98977763964001,2.95546344167575
"3928",0.209108643596162,1.84533777908441,3.58078294659351,5.98977763964001,2.95216950080953
"4115",0.206657246403639,1.23537969122912,3.33487843404016,5.32502074550366,2.32170813177996
"4272",0.408086794194541,1.82628206046822,3.58078294659351,5.98977763964001,2.84372948323057
"4697",0.337958171458109,2.05097882203798,3.58078294659351,5.98977763964001,2.88361581361355
"4827",0.00268591170151646,0.696395763651296,3.17598650936112,4.50851625226694,1.9916742776731
"4916",0.391456405441614,1.83636336041682,3.58078294659351,5.98977763964001,2.96379344707979
"4970",0.397405160587778,2.47480018077161,3.69928062050879,4.98465330797233,2.71227881387855
"4974",0.278753595467004,1.33303984096947,3.33487843404016,5.32502074550366,2.58303675406315
"5137",0.32912395292821,1.94348069562458,3.82053390533369,5.19781516944518,2.90316753263122
"5184",0.0415867706273144,2.33409949464674,2.99627669770714,6.95136909386879,1.89171330085297
"5236",0.330602982441451,2.2396038514235,2.99627669770714,6.95136909386879,2.68573107828803
"5278",0.222716475568545,0.726571970303618,3.17598650936112,4.50851625226694,2.15238845943554
"5286",0.106455330989816,1.479475486258,4.14310934368233,4.86861505347097,2.71985719460192
"5469",0.318186147559486,1.9390770207847,4.37324138608759,5.43420630841758,2.69158137376215
"5511",0.485579492743648,1.69770100505599,3.5953428256262,5.33782451404581,2.58106743737344
"5680",0.0229086056034447,1.71144535073004,2.99627669770714,6.95136909386879,2.4815705841947
