Order_Mean,FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
101,74262,1,5885996306,0.019925034,0.019925034,0,0.019925034,0,0.019925034
102,44656,2,11771992612,0.019923912,0.019925708,1.79559E-06,0.01992481,8.97795E-07,0.03984962
103,62290,1,5885996306,0.019923057,0.019923057,0,0.019923057,0,0.019923057
104,64440,2,11771992612,0.019916512,0.019926684,1.01719E-05,0.019921598,5.08595E-06,0.039843196
105,74938,1,5885996306,0.01992115,0.01992115,0,0.01992115,0,0.01992115
106,72309,1,5885996306,0.019919705,0.019919705,0,0.019919705,0,0.019919705
107,70650,2,11771992612,0.019887976,0.019945538,5.75613E-05,0.019916757,2.87807E-05,0.039833514
108,57261,1,5885996306,0.019916236,0.019916236,0,0.019916236,0,0.019916236
109,56969,1,5885996306,0.019907964,0.019907964,0,0.019907964,0,0.019907964
110,41895,1,5885996306,0.019902389,0.019902389,0,0.019902389,0,0.019902389
111,74742,1,5885996306,0.019896295,0.019896295,0,0.019896295,0,0.019896295
112,58289,1,5885996306,0.019891253,0.019891253,0,0.019891253,0,0.019891253
113,69367,1,5885996306,0.019882133,0.019882133,0,0.019882133,0,0.019882133
114,75970,2,11771992612,0.019853773,0.019910352,5.65797E-05,0.019882062,2.82899E-05,0.039764125
115,75480,2,11771992612,0.019872895,0.019880256,7.36117E-06,0.019876575,3.68059E-06,0.03975315
116,73683,2,11771992612,0.019853126,0.019888386,3.52599E-05,0.019870756,1.76299E-05,0.039741512
117,79114,1,5885996306,0.019867504,0.019867504,0,0.019867504,0,0.019867504
118,67088,2,11771992612,0.019833835,0.019888671,5.48363E-05,0.019861253,2.74181E-05,0.039722506
119,57677,1,5885996306,0.019857138,0.019857138,0,0.019857138,0,0.019857138
120,35967,1,5885996306,0.019856323,0.019856323,0,0.019856323,0,0.019856323
121,75366,2,11771992612,0.019827064,0.019877464,5.03995E-05,0.019852264,2.51997E-05,0.039704528
122,62595,2,11771992612,0.019829903,0.019868966,3.90634E-05,0.019849434,1.95317E-05,0.039698869
123,58938,1,5885996306,0.019848937,0.019848937,0,0.019848937,0,0.019848937
124,66054,1,5885996306,0.019847156,0.019847156,0,0.019847156,0,0.019847156
125,76364,2,11771992612,0.019809568,0.019862138,5.25694E-05,0.019835853,2.62847E-05,0.039671706
126,64059,1,5885996306,0.019833507,0.019833507,0,0.019833507,0,0.019833507
127,56586,2,11771992612,0.019825051,0.019839246,1.41952E-05,0.019832148,7.09761E-06,0.039664296
128,74935,1,5885996306,0.019817643,0.019817643,0,0.019817643,0,0.019817643
129,76130,1,5885996306,0.019816291,0.019816291,0,0.019816291,0,0.019816291
130,49839,1,5885996306,0.019815462,0.019815462,0,0.019815462,0,0.019815462
131,75661,1,5885996306,0.019802116,0.019802116,0,0.019802116,0,0.019802116
132,78565,1,5885996306,0.019800944,0.019800944,0,0.019800944,0,0.019800944
133,38163,1,5885996306,0.01980051,0.01980051,0,0.01980051,0,0.01980051
134,5785,2,11771992612,0.019766439,0.019831646,6.52075E-05,0.019799042,3.26037E-05,0.039598085
135,63858,1,5885996306,0.019795218,0.019795218,0,0.019795218,0,0.019795218
136,59402,1,5885996306,0.019793836,0.019793836,0,0.019793836,0,0.019793836
137,65179,1,5885996306,0.019784616,0.019784616,0,0.019784616,0,0.019784616
138,39762,2,11771992612,0.019769214,0.019794539,2.53245E-05,0.019781876,1.26623E-05,0.039563753
139,71153,1,5885996306,0.019780742,0.019780742,0,0.019780742,0,0.019780742
140,49571,1,5885996306,0.019780599,0.019780599,0,0.019780599,0,0.019780599
141,42845,1,5885996306,0.019773846,0.019773846,0,0.019773846,0,0.019773846
142,68293,1,5885996306,0.01977382,0.01977382,0,0.01977382,0,0.01977382
143,57649,1,5885996306,0.019771973,0.019771973,0,0.019771973,0,0.019771973
144,67030,1,5885996306,0.019753935,0.019753935,0,0.019753935,0,0.019753935
145,74424,1,5885996306,0.019751264,0.019751264,0,0.019751264,0,0.019751264
146,14126,1,5885996306,0.019750405,0.019750405,0,0.019750405,0,0.019750405
147,67773,1,5885996306,0.01974134,0.01974134,0,0.01974134,0,0.01974134
148,69327,2,11771992612,0.019713232,0.019749058,3.58261E-05,0.019731145,1.79131E-05,0.039462291
149,62351,1,5885996306,0.019721949,0.019721949,0,0.019721949,0,0.019721949
150,74753,1,5885996306,0.019721434,0.019721434,0,0.019721434,0,0.019721434
151,52633,1,5885996306,0.019719282,0.019719282,0,0.019719282,0,0.019719282
152,77100,2,11771992612,0.019678477,0.019754721,7.62437E-05,0.019716599,3.81218E-05,0.039433198
153,57020,1,5885996306,0.019709999,0.019709999,0,0.019709999,0,0.019709999
154,40331,1,5885996306,0.019705018,0.019705018,0,0.019705018,0,0.019705018
155,43303,2,11771992612,0.019656762,0.0197358,7.90376E-05,0.019696281,3.95188E-05,0.039392563
156,69582,1,5885996306,0.019690091,0.019690091,0,0.019690091,0,0.019690091
157,77536,1,5885996306,0.019684616,0.019684616,0,0.019684616,0,0.019684616
158,39411,1,5885996306,0.019681901,0.019681901,0,0.019681901,0,0.019681901
159,40657,1,5885996306,0.019680003,0.019680003,0,0.019680003,0,0.019680003
160,68942,2,11771992612,0.019630548,0.01970619,7.5642E-05,0.019668369,3.7821E-05,0.039336737
161,21649,1,5885996306,0.019667996,0.019667996,0,0.019667996,0,0.019667996
162,64917,1,5885996306,0.019666942,0.019666942,0,0.019666942,0,0.019666942
163,64427,1,5885996306,0.019655267,0.019655267,0,0.019655267,0,0.019655267
164,67438,1,5885996306,0.019652694,0.019652694,0,0.019652694,0,0.019652694
165,28825,2,11771992612,0.019631842,0.019670846,3.90038E-05,0.019651344,1.95019E-05,0.039302688
166,9043,1,5885996306,0.01964264,0.01964264,0,0.01964264,0,0.01964264
167,61193,1,5885996306,0.019636899,0.019636899,0,0.019636899,0,0.019636899
168,55640,2,11771992612,0.019600637,0.019671764,7.1127E-05,0.019636201,3.55635E-05,0.039272401
169,71210,1,5885996306,0.019629866,0.019629866,0,0.019629866,0,0.019629866
170,67272,1,5885996306,0.019627051,0.019627051,0,0.019627051,0,0.019627051
171,48024,2,11771992612,0.01962493,0.019626833,1.90362E-06,0.019625882,9.51812E-07,0.039251763
172,62455,1,5885996306,0.019624559,0.019624559,0,0.019624559,0,0.019624559
173,51478,1,5885996306,0.019619524,0.019619524,0,0.019619524,0,0.019619524
174,76435,1,5885996306,0.019615147,0.019615147,0,0.019615147,0,0.019615147
175,73544,1,5885996306,0.019614521,0.019614521,0,0.019614521,0,0.019614521
176,66536,2,11771992612,0.019579088,0.019649217,7.01286E-05,0.019614153,3.50643E-05,0.039228305
177,22121,1,5885996306,0.019613631,0.019613631,0,0.019613631,0,0.019613631
178,60623,1,5885996306,0.019613249,0.019613249,0,0.019613249,0,0.019613249
179,49913,1,5885996306,0.019608682,0.019608682,0,0.019608682,0,0.019608682
180,49858,2,11771992612,0.019583032,0.019630242,4.72106E-05,0.019606637,2.36053E-05,0.039213274
181,41656,1,5885996306,0.01960301,0.01960301,0,0.01960301,0,0.01960301
182,48999,2,11771992612,0.019570604,0.01963377,6.3166E-05,0.019602187,3.1583E-05,0.039204374
183,63800,1,5885996306,0.019601379,0.019601379,0,0.019601379,0,0.019601379
184,51969,2,11771992612,0.01959054,0.019607812,1.72723E-05,0.019599176,8.63615E-06,0.039198352
185,73278,1,5885996306,0.019596972,0.019596972,0,0.019596972,0,0.019596972
186,68560,2,11771992612,0.019556131,0.01963315,7.70185E-05,0.01959464,3.85093E-05,0.039189281
187,65795,2,11771992612,0.01956585,0.019613007,4.71566E-05,0.019589429,2.35783E-05,0.039178858
188,73028,1,5885996306,0.019587107,0.019587107,0,0.019587107,0,0.019587107
189,50673,1,5885996306,0.019584386,0.019584386,0,0.019584386,0,0.019584386
190,31375,1,5885996306,0.019580794,0.019580794,0,0.019580794,0,0.019580794
191,27338,1,5885996306,0.019580081,0.019580081,0,0.019580081,0,0.019580081
192,47777,2,11771992612,0.019576579,0.019579943,3.36394E-06,0.019578261,1.68197E-06,0.039156523
193,56229,1,5885996306,0.019578028,0.019578028,0,0.019578028,0,0.019578028
194,53344,2,11771992612,0.019556768,0.019597668,4.09E-05,0.019577218,2.045E-05,0.039154436
195,61070,1,5885996306,0.019574324,0.019574324,0,0.019574324,0,0.019574324
196,66226,1,5885996306,0.019572033,0.019572033,0,0.019572033,0,0.019572033
197,48100,1,5885996306,0.019571662,0.019571662,0,0.019571662,0,0.019571662
198,50873,2,11771992612,0.019551778,0.019587301,3.55225E-05,0.019569539,1.77613E-05,0.039139079
199,62709,2,11771992612,0.019528817,0.019608283,7.9466E-05,0.01956855,3.9733E-05,0.039137101
200,65662,1,5885996306,0.019560708,0.019560708,0,0.019560708,0,0.019560708
201,49631,2,11771992612,0.019552704,0.019568341,1.56369E-05,0.019560522,7.81845E-06,0.039121045
202,44095,1,5885996306,0.019557349,0.019557349,0,0.019557349,0,0.019557349
203,67943,1,5885996306,0.0195517,0.0195517,0,0.0195517,0,0.0195517
204,32598,1,5885996306,0.019551449,0.019551449,0,0.019551449,0,0.019551449
205,57453,1,5885996306,0.019537603,0.019537603,0,0.019537603,0,0.019537603
206,58114,1,5885996306,0.019535707,0.019535707,0,0.019535707,0,0.019535707
207,41587,2,11771992612,0.019534577,0.019535823,1.24611E-06,0.0195352,6.23055E-07,0.039070399
208,64908,1,5885996306,0.019534573,0.019534573,0,0.019534573,0,0.019534573
